route_id,agency_id,route_short_name,route_long_name,route_type
"10-A10-1-j26-1","01","A10-1","Salzburg - Villach - Klagenfurt","2"
"10-A11-j26-1","01","A11","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-A12-j26-1","01","A12","Breclav - Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Graz - Spielfeld-Straß","2"
"10-A13-j26-1","01","A13","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-A14-j26-1","01","A14","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-A18-j26-1","01","A18","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"10-A19-j26-1","01","A19","Linz - Selzthal - Graz","2"
"10-A1-j26-1","01","A1","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-A20-j26-1","01","A20","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-A21-j26-1","01","A21","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-A3-j26-1","01","A3","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"10-A4-j26-1","01","A4","Lienz - Villach - Bruck an der Mur - Wien - Breclav","2"
"10-A62-j26-1","01","A62","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-A7-j26-1","01","A7","Salzburg - Villach - Klagenfurt","2"
"10-A8-j26-1","01","A8","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-A92-j26-1","01","A92","Breclav - Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Graz - Spielfeld-Straß","2"
"10-A9-j26-1","01","A9","Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Klagenfurt - Villach - Tarvis","2"
"10-CH1-j26-1","01","CH1","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-CH3-j26-1","01","CH3","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-D15-j26-1","01","D15","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-D16-j26-1","01","D16","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-D17-j26-1","01","D17","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-D9-j26-1","01","D9","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-HU1-j26-1","01","HU1","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"10-I1-j26-1","01","I1","IT- Brenner - Kufstein - München (DE)","2"
"10-I3-j26-1","01","I3","Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Klagenfurt - Villach - Tarvis","2"
"10-SI1-j26-1","01","SI1","Salzburg - Villach - Klagenfurt","2"
"10-SK-j26-1","01","SK","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"11-220-A-j26-1","01","220-A","?????????????????????????????? - ??????????????????????????????","2"
"12-A12-j26-1","01","A12","Breclav - Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Graz - Spielfeld-Straß","2"
"12-A15-A-j26-1","01","A15-A","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"12-A15-j26-1","01","A15","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-A1-j26-1","01","A1","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-A-1-j26-1","01","A-1","","2"
"12-A3-j26-1","01","A3","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"12-A5-j26-1","01","A5","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"12-A7-j26-1","01","A7","Salzburg - Villach - Klagenfurt","2"
"12-A85-j26-1","01","A85","Salzburg - Villach - Klagenfurt","2"
"12-A86-j26-1","01","A86","Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Klagenfurt - Villach - Tarvis","2"
"12-A88-j26-1","01","A88","Breclav - Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Graz - Spielfeld-Straß","2"
"12-A91-j26-1","01","A91","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-A92-j26-1","01","A92","Breclav - Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Graz - Spielfeld-Straß","2"
"12-A94-j26-1","01","A94","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"12-A96-j26-1","01","A96","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-A99-j26-1","01","A99","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-A9-j26-1","01","A9","Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Klagenfurt - Villach - Tarvis","2"
"12-CH1-j26-1","01","CH1","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-CH2-j26-1","01","CH2","","2"
"12-CH3-j26-1","01","CH3","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-CZ3-j26-1","01","CZ3","Breclav - Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Graz - Spielfeld-Straß","2"
"12-CZ4-j26-1","01","CZ4","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"12-D10-j26-1","01","D10","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-D11-j26-1","01","D11","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-D16-j26-1","01","D16","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"12-D17-j26-1","01","D17","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-D19-j26-1","01","D19","","2"
"12-D1-j26-1","01","D1","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-D3-j26-1","01","D3","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-D5-j26-1","01","D5","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"12-D6-j26-1","01","D6","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"12-D9-j26-1","01","D9","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-HU1-j26-1","01","HU1","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"12-I3-j26-1","01","I3","Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Klagenfurt - Villach - Tarvis","2"
"12-SI1-j26-1","01","SI1","Salzburg - Villach - Klagenfurt","2"
"12-SI2-j26-1","01","SI2","Breclav - Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Graz - Spielfeld-Straß","2"
"13-101-D-j26-1","01","101-D","Linz - Selzthal - Graz","2"
"13-A10-j26-1","01","A10","Salzburg - Villach - Klagenfurt","2"
"13-A12-1-j26-1","01","A12-1","Breclav - Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Graz - Spielfeld-Straß","2"
"13-A12-2-j26-1","01","A12-2","Breclav - Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Graz - Spielfeld-Straß","2"
"13-A12-j26-1","01","A12","Breclav - Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Graz - Spielfeld-Straß","2"
"13-A13-j26-1","01","A13","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"13-A14-j26-1","01","A14","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"13-A17-j26-1","01","A17","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"13-A19-j26-1","01","A19","Linz - Selzthal - Graz","2"
"13-A-1-j26-1","01","A-1","","2"
"13-A-2-j26-1","01","A-2","","2"
"13-A3-j26-1","01","A3","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"13-A4-j26-1","01","A4","Lienz - Villach - Bruck an der Mur - Wien - Breclav","2"
"13-A6-j26-1","01","A6","Linz - Selzthal - Graz","2"
"13-A7-j26-1","01","A7","Salzburg - Villach - Klagenfurt","2"
"13-A8-j26-1","01","A8","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"13-A95-j26-1","01","A95","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"13-A96-j26-1","01","A96","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"13-A98-j26-1","01","A98","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"13-A99-j26-1","01","A99","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"13-A9-j26-1","01","A9","Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Klagenfurt - Villach - Tarvis","2"
"13-AD3-j26-1","01","AD3","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"13-CH2-j26-1","01","CH2","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"13-E8-j26-1","01","E8","Graz - Selzthal - Linz","2"
"14-A10-j26-1","01","A10","Salzburg - Villach - Klagenfurt","2"
"14-A3-j26-1","01","A3","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"14-A7-j26-1","01","A7","Salzburg - Villach - Klagenfurt","2"
"14-A95-j26-1","01","A95","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"14-A96-j26-1","01","A96","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"14-A98-j26-1","01","A98","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"14-D7-j26-1","01","D7","Salzburg - Villach - Klagenfurt","2"
"15-CAT-j26-1","08","CAT","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"1-80-j26-1","01","80","80","2"
"1-MB4-j26-1","10","S4","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"1-MS1-V-j26-1","10","S1","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"1-S1-K-j26-1","01","S1","Breclav - Wien - Wr.Neustadt - Mürzzuschlag - Bruck/Mur - Klagenfurt - Villach - Spital/Millstättersee - Lienz","2"
"1-S1-M-j26-1","01","S1","Linz - Selzthal - Graz","2"
"1-S1-O-j26-1","01","S1","Bischofshofen - Schladming - Stainach-Irdning - Leoben - Bruck/M - Wien","2"
"1-S1-S-j26-1","01","S1","Linz - Selzthal - Graz","2"
"1-S1-V-j26-1","01","S1","Lindau - Bregenz - Bludenz - Innsbruck - Kufstein - Salzburg - Wien","2"
"1-S1-W-j26-1","01","S1","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
"1-S2-I-j26-1","01","S2","Wien - Salzburg - Kufstein - Innsbruck - Bludenz - Bregenz - Lindau","2"
