stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,level_id,platform_code
"at:41:3087:0:1","Bad Sauerbrunn Bahnhof","47.77365887","16.32506569","","","Pat:41:3087","Level 0","1"
"at:41:3087:0:2","Bad Sauerbrunn Bahnhof","47.77364679","16.32505671","","","Pat:41:3087","Level 0","2"
"at:41:3087:2","Bus","47.77422636","16.32450874","","","Pat:41:3087","Level 0",""
"at:41:3087:3","Zugang","47.77394865","16.32435602","","2","Pat:41:3087","Level 0",""
"at:41:3087:4","P+R","47.77257819","16.32569451","","3","Pat:41:3087","Level 0",""
"at:41:3087:5","B+R","47.77378565","16.32462552","","3","Pat:41:3087","Level 0",""
"at:41:3145:0:1","Baumgarten-Schattendorf Bahnhof","47.72793697","16.51753872","","","Pat:41:3145","Level 0","1"
"at:41:3145:2","SEV","47.72774361","16.51749381","","","Pat:41:3145","Level 0",""
"at:41:3145:3","Zugang","47.72761067","16.51765551","","2","Pat:41:3145","Level 0",""
"at:41:3145:4","P+R","47.72733875","16.51778127","","3","Pat:41:3145","Level 0",""
"at:41:3186:0:1","Breitenbrunn Bahnhof","47.94122901","16.74638454","","","Pat:41:3186","Level 0","1"
"at:41:3186:3","Zugang","47.94124707","16.74598928","","2","Pat:41:3186","Level 0",""
"at:41:3186:4","P+R","47.94148778","16.74627675","","3","Pat:41:3186","Level 0",""
"at:41:3294:0:1","Deutschkreutz Bahnhof","47.60380868","16.61973107","","","Pat:41:3294","Level 0","1"
"at:41:3294:0:5","Deutschkreutz Bahnhof","47.60386925","16.61972209","","","Pat:41:3294","Level 0","2"
"at:41:3294:2","Bus","47.60349372","16.62060244","","","Pat:41:3294","Level 0",""
"at:41:3294:3","Zugang","47.60373599","16.62012633","","2","Pat:41:3294","Level 0",""
"at:41:3294:4","P+R","47.60358457","16.62054854","","3","Pat:41:3294","Level 0",""
"at:41:3298:0:1","Donnerskirchen Bahnhof","47.88847462","16.66037984","","","Pat:41:3298","Level 0","1"
"at:41:3298:3","Zugang","47.88848667","16.66020018","","2","Pat:41:3298","Level 0",""
"at:41:3298:4","P+R","47.88855896","16.66020018","","3","Pat:41:3298","Level 0",""
"at:41:3303:0:1","Draßburg Bahnhof","47.74783123","16.49477542","","","Pat:41:3303","Level 0","1"
"at:41:3303:3","Bus","47.74777083","16.49454185","","","Pat:41:3303","Level 0",""
"at:41:3303:4","P+R","47.74761378","16.49410168","","3","Pat:41:3303","Level 0",""
"at:41:3351:0:1","Eisenstadt Bahnhof","47.83978478","16.52985463","","","","Level 0","1"
"at:41:3351:0:4","Eisenstadt Bahnhof","47.83973052","16.52994446","","","","Level 0","2"
"at:41:3351:0:5","Eisenstadt Bahnhof","47.83970640","16.52999836","","","","Level 0","3"
"at:41:3443:0:1","Frauenkirchen Bahnhof","47.83978478","16.91584274","","","Pat:41:3443","Level 0","1"
"at:41:3443:2","Bus","47.84003803","16.91609427","","","Pat:41:3443","Level 0",""
"at:41:3443:3","Zugang","47.84021891","16.91650749","","2","Pat:41:3443","Level 0",""
"at:41:3443:4","P+R","47.84023097","16.91680394","","3","Pat:41:3443","Level 0",""
"at:41:3490:0:1","Eisenstadt Schule","47.84390280","16.53664589","","","Pat:41:3490","Level 0","1"
"at:41:3490:2","Zugang","47.84389677","16.53628656","","2","Pat:41:3490","Level 0",""
"at:41:3531:0:1","Gols Bahnhof","47.89190210","16.90464075","","","Pat:41:3531","Level 0","1"
"at:41:3531:2","Bus","47.89236591","16.90443413","","","Pat:41:3531","Level 0",""
"at:41:3531:3","Zugang","47.89213099","16.90480244","","2","Pat:41:3531","Level 0",""
"at:41:3531:4","P+R","47.89216713","16.90473956","","3","Pat:41:3531","Level 0",""
"at:41:3831:0:1","Jois Bahnhof","47.95667426","16.79077030","","","Pat:41:3831","Level 0","1"
"at:41:3831:3","Zugang","47.95675848","16.79041098","","2","Pat:41:3831","Level 0",""
"at:41:4109:0:1","Loipersbach-Schattendorf Bhf.","47.70064174","16.49203555","","","Pat:41:4109","Level 0","1"
"at:41:4109:0:4","Loipersbach-Schattendorf Bhf.","47.70062965","16.49199064","","","Pat:41:4109","Level 0","2"
"at:41:4109:2","Bus","47.70105284","16.49190979","","","Pat:41:4109","Level 0",""
"at:41:4109:3","Zugang","47.70093193","16.49170318","","2","Pat:41:4109","Level 0",""
"at:41:4109:4","P+R","47.70132490","16.49162233","","3","Pat:41:4109","Level 0",""
"at:41:4176:0:1","Marz-Rohrbach Bahnhof","47.71745816","16.42893789","","","Pat:41:4176","Level 0","1"
"at:41:4176:2","Bus","47.71728289","16.42870433","","","Pat:41:4176","Level 0",""
"at:41:4176:3","Zugang","47.71717410","16.42888399","","2","Pat:41:4176","Level 0",""
"at:41:4176:4","P+R","47.71713180","16.42903670","","3","Pat:41:4176","Level 0",""
"at:41:4177:0:1","Mattersburg Bahnhof","47.73576750","16.40887851","","","Pat:41:4177","Level 0","1"
"at:41:4177:0:3","Mattersburg Bahnhof","47.73579771","16.40893241","","","Pat:41:4177","Level 0","2"
"at:41:4177:2","Bus","47.73567688","16.40857308","","","Pat:41:4177","Level 0",""
"at:41:4177:3","Zugang","47.73545334","16.40882461","","2","Pat:41:4177","Level 0",""
"at:41:4177:4","P+R","47.73590042","16.40844732","","3","Pat:41:4177","Level 0",""
"at:41:4177:5","Bauweltstr.","47.73583396","16.40967801","","","Pat:41:4177","Level 0",""
"at:41:4177:6","ZG","47.73576146","16.40893241","","3","Pat:41:4177","Level -1",""
"at:41:4309:0:1","Mönchhof-Halbturn Bahnhof","47.87406951","16.94808327","","","Pat:41:4309","Level 0","1"
"at:41:4309:2","Bus","47.87382246","16.95017635","","","Pat:41:4309","Level 0",""
"at:41:4309:3","Zugang","47.87411771","16.94857735","","2","Pat:41:4309","Level 0",""
"at:41:4309:4","P+R","47.87388272","16.94905345","","3","Pat:41:4309","Level 0",""
"at:41:4325:0:1","Neudörfl Bahnhof","47.79389775","16.30041592","","","Pat:41:4325","Level 0","1"
"at:41:4325:0:2","Neudörfl Bahnhof","47.79375895","16.30034406","","","Pat:41:4325","Level 0","2"
"at:41:4325:2","Bus","47.79423570","16.30053270","","","Pat:41:4325","Level 0",""
"at:41:4325:3","Zugang","47.79390378","16.30007456","","2","Pat:41:4325","Level 0",""
"at:41:4325:4","P+R","47.79375291","16.30117051","","3","Pat:41:4325","Level 0",""
"at:41:4348:0:1","Neusiedl am See Bad Bahnhof","47.94269130","16.84497465","","","Pat:41:4348","Level 0","1"
"at:41:4348:2","Bus","47.94274546","16.84430989","","","Pat:41:4348","Level 0",""
"at:41:4348:3","Zugang","47.94285378","16.84390565","","2","Pat:41:4348","Level 0",""
"at:41:4351:0:1","Neusiedl am See Bahnhof","47.95574178","16.82374746","","","Pat:41:4351","Level 0","1"
"at:41:4351:0:3","Neusiedl am See Bahnhof","47.95581999","16.82366661","","","Pat:41:4351","Level 0","2"
"at:41:4351:0:4","Neusiedl am See Bahnhof","47.95584405","16.82363067","","","Pat:41:4351","Level 0","3"
"at:41:4351:2","Bus","47.95595234","16.82420560","","","Pat:41:4351","Level 0",""
"at:41:4351:3","Zugang","47.95611478","16.82453797","","2","Pat:41:4351","Level 0",""
"at:41:4351:4","P+R","47.95631932","16.82515781","","3","Pat:41:4351","Level 0",""
"at:41:4351:5","ZG","47.95622306","16.82453797","","3","Pat:41:4351","Level -1",""
"at:41:4367:0:1","Nickelsdorf Bahnhof","47.94295006","17.08585789","","","Pat:41:4367","Level 0","1"
"at:41:4367:0:3","Nickelsdorf Bahnhof","47.94302227","17.08592077","","","Pat:41:4367","Level 0","2"
"at:41:4367:2","Bus","47.94240848","17.08675620","","","Pat:41:4367","Level 0",""
"at:41:4367:3","Zugang","47.94247467","17.08683705","","2","Pat:41:4367","Level 0",""
"at:41:4367:4","P+R","47.94279962","17.08654959","","3","Pat:41:4367","Level 0",""
"at:41:4464:0:1","Pamhagen Bahnhof","47.70434157","16.90376938","","","Pat:41:4464","Level 0","1"
"at:41:4464:2","Bus","47.70386400","16.90349989","","","Pat:41:4464","Level 0",""
"at:41:4464:3","Zugang","47.70389422","16.90354480","","2","Pat:41:4464","Level 0",""
"at:41:4464:4","P+R","47.70438994","16.90408379","","3","Pat:41:4464","Level 0",""
"at:41:4469:0:2","Parndorf Bahnhof","47.98691961","16.87193309","","","Pat:41:4469","Level 0","2"
"at:41:4469:0:3","Parndorf Bahnhof","47.98686550","16.87192410","","","Pat:41:4469","Level 0","3"
"at:41:4469:2","Bus","47.98725029","16.86976815","","","Pat:41:4469","Level 0",""
"at:41:4469:3","Zugang","47.98722624","16.87035205","","2","Pat:41:4469","Level 0",""
"at:41:4469:4","bahn","47.98702783","16.87205885","","","Pat:41:4469","Level 0",""
"at:41:4473:0:1","Parndorf Ort Bahnhof","47.99219825","16.85172998","","","Pat:41:4473","Level 0","1"
"at:41:4473:0:2","Parndorf Ort Bahnhof","47.99211409","16.85164913","","","Pat:41:4473","Level 0","2"
"at:41:4473:0:6","Parndorf Ort Bahnhof","47.99188564","16.85128980","","","Pat:41:4473","Level 0","3"
"at:41:4473:3","Bus","47.99199986","16.85172998","","","Pat:41:4473","Level 0",""
"at:41:4473:4","Zugang","47.99190367","16.85219710","","2","Pat:41:4473","Level 0",""
"at:41:4473:5","P+R","47.99121832","16.85217015","","3","Pat:41:4473","Level 0",""
"at:41:4473:6","Zg","47.99208403","16.85145150","","3","Pat:41:4473","Level -1",""
"at:41:4592:0:1","Purbach am Neusiedler See Bf.","47.90641065","16.69869298","","","Pat:41:4592","Level 0","1"
"at:41:4592:0:3","Purbach am Neusiedler See Bf.","47.90638656","16.69874688","","","Pat:41:4592","Level 0","2"
"at:41:4592:2","Bus","47.90658528","16.69845942","","","Pat:41:4592","Level 0",""
"at:41:4592:3","Zugang","47.90642269","16.69835163","","2","Pat:41:4592","Level 0",""
"at:41:4592:4","P+R","47.90618182","16.69816298","","3","Pat:41:4592","Level 0",""
"at:41:4592:5","B+R","47.90642269","16.69846841","","3","Pat:41:4592","Level 0",""
"at:41:4731:0:1","Schützen am Gebirge Ruster Straße Bahnhof","47.85134214","16.63014255","","","Pat:41:4731","Level 0","1"
"at:41:4731:2","Bus","47.85045598","16.63112171","","","Pat:41:4731","Level 0",""
"at:41:4731:3","Zugang","47.85119143","16.62970237","","2","Pat:41:4731","Level 0",""
"at:41:4732:0:1","Schützen am Gebirge Bahnhof","47.84830986","16.61951548","","","Pat:41:4732","Level 0","1"
"at:41:4732:0:4","Schützen am Gebirge Bahnhof","47.84826163","16.61955141","","","Pat:41:4732","Level 0","2"
"at:41:4732:2","Bus","47.84852689","16.61912022","","","Pat:41:4732","Level 0",""
"at:41:4732:3","Zugang","47.84827972","16.61873394","","2","Pat:41:4732","Level 0",""
"at:41:4732:4","P+R","47.84815312","16.61819495","","3","Pat:41:4732","Level 0",""
"at:41:4732:5","B+R","47.84825561","16.61861716","","3","Pat:41:4732","Level 0",""
"at:41:4821:0:1","St. Andrä am Zicksee Bahnhof","47.78259319","16.92802389","","","Pat:41:4821","Level 0","1"
"at:41:4821:2","Bus","47.78288293","16.92814966","","","Pat:41:4821","Level 0",""
"at:41:4821:3","Zugang","47.78405393","16.92804186","","2","Pat:41:4821","Level 0",""
"at:41:4821:4","P+R","47.78238796","16.92822152","","3","Pat:41:4821","Level 0",""
"at:41:5143:0:1","Wallern im Bgld Bahnhof","47.73397915","16.93053019","","","Pat:41:5143","Level 0","1"
"at:41:5143:2","Bus","47.73336288","16.93093444","","","Pat:41:5143","Level 0",""
"at:41:5143:3","Zugang","47.73324809","16.93085359","","2","Pat:41:5143","Level 0",""
"at:41:5143:4","P+R","47.73314537","16.93084460","","3","Pat:41:5143","Level 0",""
"at:41:5157:0:1","Weiden am See Bahnhof","47.92576711","16.86384825","","","Pat:41:5157","Level 0","1"
"at:41:5157:2","Bus","47.92560458","16.86432436","","","Pat:41:5157","Level 0",""
"at:41:5157:3","Zugang","47.92568885","16.86430639","","2","Pat:41:5157","Level 0",""
"at:41:5157:4","P+R","47.92595973","16.86420758","","3","Pat:41:5157","Level 0",""
"at:41:5233:0:1","Wiesen-Sigleß Bahnhof","47.75364764","16.36938857","","","Pat:41:5233","Level 0","1"
"at:41:5233:2","Bus","47.75333963","16.37045756","","","Pat:41:5233","Level 0",""
"at:41:5233:3","Zugang","47.75295913","16.37034977","","2","Pat:41:5233","Level 0",""
"at:41:5233:4","P+R","47.75293497","16.36974789","","3","Pat:41:5233","Level 0",""
"at:41:5233:5","B+R","47.75304973","16.37010722","","3","Pat:41:5233","Level 0",""
"at:41:5248:0:1","Winden am See Bahnhof","47.94710802","16.75929333","","","Pat:41:5248","Level 0","1"
"at:41:5248:3","Zugang","47.94696962","16.75867350","","2","Pat:41:5248","Level 0",""
"at:41:5248:4","P+R","47.94708395","16.75896096","","","Pat:41:5248","Level 0",""
"at:41:5286:0:4","Wulkaprodersdorf Bahnhof","47.78941364","16.49058927","","","Pat:41:5286","Level 0","3"
"at:41:5286:2","Bus","47.78930500","16.49103842","","","Pat:41:5286","Level 0",""
"at:41:5286:3","Zugang","47.78922654","16.49089469","","2","Pat:41:5286","Level 0",""
"at:41:5286:4","P+R","47.78956453","16.49102046","","3","Pat:41:5286","Level 0",""
"at:41:5288:0:1","Wulkaprodersdorf Rathausgasse","47.79918403","16.49654510","","","Pat:41:5288","Level 0","1"
"at:41:5288:3","Zugang","47.79893059","16.49619475","","2","Pat:41:5288","Level 0",""
"at:41:5312:0:1","Zurndorf Bahnhof","47.96815743","17.02392803","","","Pat:41:5312","Level 0","1"
"at:41:5312:0:3","Zurndorf Bahnhof","47.96781460","17.02529347","","","Pat:41:5312","Level 0","2"
"at:41:5312:2","Bus","47.96841004","17.02369447","","","Pat:41:5312","Level 0",""
"at:41:5312:3","Zugang","47.96838599","17.02394600","","2","Pat:41:5312","Level 0",""
"at:41:5312:4","P+R","47.96846418","17.02295785","","3","Pat:41:5312","Level 0",""
"at:41:5312:5","B+R","47.96844613","17.02324531","","3","Pat:41:5312","Level 0",""
"at:41:5969:0:1","Neudorf","48.00875813","16.93782451","","","Pat:41:5969","Level 0","1"
"at:41:5969:2","Bus","48.00907065","16.93888453","","","Pat:41:5969","Level 0",""
"at:41:5969:3","Zugang","48.00905863","16.93856113","","2","Pat:41:5969","Level 0",""
"at:41:5969:4","P+R","48.00914877","16.93846232","","3","Pat:41:5969","Level 0",""
"at:41:5970:0:1","Gattendorf Bahnhof","48.01061515","16.98056635","","","Pat:41:5970","Level 0","1"
"at:41:5970:0:2","Gattendorf Bahnhof","48.01052501","16.98058432","","","Pat:41:5970","Level 0","2"
"at:41:5970:2","Bus","48.01096371","16.98282113","","","Pat:41:5970","Level 0",""
"at:41:5970:3","Zugang","48.01123415","16.98261451","","2","Pat:41:5970","Level 0",""
"at:41:5970:4","P+R","48.01121011","16.98245282","","3","Pat:41:5970","Level 0",""
"at:41:5971:0:1","Pama Bahnhof","48.04207216","17.04134637","","","Pat:41:5971","Level 0","1"
"at:41:5971:2","Bus","48.04245655","17.04142722","","","Pat:41:5971","Level 0",""
"at:41:5971:3","Zugang","48.04230039","17.04096009","","2","Pat:41:5971","Level 0",""
"at:41:5971:4","P+R","48.04219228","17.04088823","","3","Pat:41:5971","Level 0",""
"at:41:5972:0:1","Kittsee Bahnhof","48.08219462","17.07204180","","","Pat:41:5972","Level 0","1"
