route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
"10-A10-1-j26-1","TA+he100","1.TA.10-A10-1-j26-1.1.R","10-A10-1-j26-1.1.R","Salzburg Hauptbahnhof","RJ 658","1","725"
"10-A10-1-j26-1","TA+f0","10.TA.10-A10-1-j26-1.7.H","10-A10-1-j26-1.7.H","Flughafen Wien Bahnhof","RJ 551","0","732"
"10-A10-1-j26-1","TA+cm","11.TA.10-A10-1-j26-1.8.H","10-A10-1-j26-1.8.H","Wien Hauptbahnhof","D 1130","0",""
"10-A10-1-j26-1","TA+2C","2.TA.10-A10-1-j26-1.2.R","10-A10-1-j26-1.2.R","Salzburg Hauptbahnhof","RJ 110","1","726"
"10-A10-1-j26-1","TA+ie100","3.TA.10-A10-1-j26-1.3.R","10-A10-1-j26-1.3.R","Salzburg Hauptbahnhof","RJ 658","1","725"
"10-A10-1-j26-1","TA+ei","4.TA.10-A10-1-j26-1.4.R","10-A10-1-j26-1.4.R","Villach Hauptbahnhof","D 1133","1",""
"10-A10-1-j26-1","TA+8F","5.TA.10-A10-1-j26-1.5.H","10-A10-1-j26-1.5.H","Flughafen Wien Bahnhof","RJ 551","0","727"
"10-A10-1-j26-1","TA+d1100","6.TA.10-A10-1-j26-1.6.H","10-A10-1-j26-1.6.H","Flughafen Wien Bahnhof","RJ 659","0","728"
"10-A10-1-j26-1","TA+kq100","7.TA.10-A10-1-j26-1.6.H","10-A10-1-j26-1.6.H","Flughafen Wien Bahnhof","RJ 551","0","729"
"10-A10-1-j26-1","TA+lq000","8.TA.10-A10-1-j26-1.6.H","10-A10-1-j26-1.6.H","Flughafen Wien Bahnhof","RJ 659","0","730"
"10-A10-1-j26-1","TA+lq000","9.TA.10-A10-1-j26-1.6.H","10-A10-1-j26-1.6.H","Flughafen Wien Bahnhof","RJ 551","0","731"
"10-A11-j26-1","TA+ix","1.TA.10-A11-j26-1.1.R","10-A11-j26-1.1.R","Budapest-Keleti","RJX 19929","1","733"
"10-A11-j26-1","TA+fx","10.TA.10-A11-j26-1.6.R","10-A11-j26-1.6.R","Wien Hauptbahnhof","RJX 19977","1",""
"10-A11-j26-1","TA+71000","11.TA.10-A11-j26-1.7.R","10-A11-j26-1.7.R","Flughafen Wien Bahnhof","RJX 569","1",""
"10-A11-j26-1","TA+4q000","12.TA.10-A11-j26-1.8.R","10-A11-j26-1.8.R","Flughafen Wien Bahnhof","RJX 567","1",""
"10-A11-j26-1","TA+69100","13.TA.10-A11-j26-1.9.R","10-A11-j26-1.9.R","Flughafen Wien Bahnhof","RJX 569","1",""
"10-A11-j26-1","TA+1q000","14.TA.10-A11-j26-1.10.R","10-A11-j26-1.10.R","Flughafen Wien Bahnhof","RJX 567","1",""
"10-A11-j26-1","TA+8k","15.TA.10-A11-j26-1.11.R","10-A11-j26-1.11.R","Flughafen Wien Bahnhof","RJX 569","1",""
"10-A11-j26-1","TA+79100","16.TA.10-A11-j26-1.12.R","10-A11-j26-1.12.R","Flughafen Wien Bahnhof","RJX 569","1",""
"10-A11-j26-1","TA+iq","17.TA.10-A11-j26-1.13.R","10-A11-j26-1.13.R","Flughafen Wien Bahnhof","RJX 19957","1",""
"10-A11-j26-1","TA+jf","18.TA.10-A11-j26-1.13.R","10-A11-j26-1.13.R","Flughafen Wien Bahnhof","RJX 19919","1",""
"10-A11-j26-1","TA+fx","19.TA.10-A11-j26-1.14.R","10-A11-j26-1.14.R","Flughafen Wien Bahnhof","RJX 13479","1",""
"10-A11-j26-1","TA+iw","2.TA.10-A11-j26-1.1.R","10-A11-j26-1.1.R","Budapest-Keleti","RJX 19929","1","733"
"10-A11-j26-1","TA+fx","20.TA.10-A11-j26-1.14.R","10-A11-j26-1.14.R","Flughafen Wien Bahnhof","RJX 13477","1",""
"10-A11-j26-1","TA+et","21.TA.10-A11-j26-1.15.R","10-A11-j26-1.15.R","Wien Hauptbahnhof","RJX 13483","1",""
"10-A11-j26-1","TA+et","22.TA.10-A11-j26-1.16.R","10-A11-j26-1.16.R","Flughafen Wien Bahnhof","RJX 13479","1",""
"10-A11-j26-1","TA+et","23.TA.10-A11-j26-1.16.R","10-A11-j26-1.16.R","Flughafen Wien Bahnhof","RJX 13477","1",""
