data_source,route_id,origin_city,destination_city,weekly_train,desserte_type
Belgique,1,Binche,Braine-le-Comte,70,Bien desservi
Belgique,1,Binche,Braine-le-Comte,35,Desserte Normale
Belgique,1,Binche,Braine-le-Comte,70,Bien desservi
Belgique,1,Binche,Braine-le-Comte,35,Desserte Normale
Belgique,1,Binche,Braine-le-Comte,70,Bien desservi
Belgique,1,Binche,Braine-le-Comte,70,Bien desservi
Belgique,1,Binche,Braine-le-Comte,58,Bien desservi
Belgique,1,Binche,Braine-le-Comte,64,Bien desservi
Belgique,1,Binche,Braine-le-Comte,160,Bien desservi
Belgique,1,Binche,Braine-le-Comte,160,Bien desservi
Belgique,10,Breda,Noorderkempen,64,Bien desservi
Belgique,10,Breda,Noorderkempen,68,Bien desservi
Belgique,10,Breda,Noorderkempen,68,Bien desservi
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,14,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,83,Bien desservi
Belgique,100,Bruxelles-Midi,Namur,83,Bien desservi
Belgique,100,Bruxelles-Midi,Namur,121,Bien desservi
Belgique,100,Bruxelles-Midi,Namur,135,Bien desservi
Belgique,100,Bruxelles-Midi,Namur,14,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,17,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,19,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,13,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,8,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,8,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,18,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,17,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,76,Bien desservi
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,18,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,12,Desserte Normale
Belgique,100,Bruxelles-Midi,Namur,6,Sous-desservi
Belgique,1000,Landen,Liège-Guillemins,9,Desserte Normale
Belgique,1000,Landen,Liège-Guillemins,8,Desserte Normale
Belgique,1000,Landen,Liège-Guillemins,10,Desserte Normale
Belgique,1000,Landen,Liège-Guillemins,8,Desserte Normale
Belgique,1000,Landen,Liège-Guillemins,10,Desserte Normale
Belgique,1000,Landen,Liège-Guillemins,1,Sous-desservi
Belgique,1000,Landen,Liège-Guillemins,64,Bien desservi
Belgique,1000,Landen,Liège-Guillemins,64,Bien desservi
Belgique,1001,Ans,Louvain,2,Sous-desservi
Belgique,1001,Ans,Louvain,12,Desserte Normale
Belgique,1001,Ans,Louvain,5,Sous-desservi
Belgique,1001,Ans,Louvain,5,Sous-desservi
Belgique,1001,Ans,Louvain,5,Sous-desservi
Belgique,1001,Ans,Louvain,4,Sous-desservi
Belgique,1001,Ans,Louvain,5,Sous-desservi
Belgique,1002,Aarschot,Anvers-Central,6,Sous-desservi
Belgique,1002,Aarschot,Anvers-Central,4,Sous-desservi
Belgique,1002,Aarschot,Anvers-Central,2,Sous-desservi
Belgique,1003,Begijnendijk,Louvain,72,Bien desservi
Belgique,1003,Begijnendijk,Louvain,72,Bien desservi
Belgique,1003,Begijnendijk,Louvain,72,Bien desservi
Belgique,1003,Begijnendijk,Louvain,3,Sous-desservi
Belgique,1004,Aarschot,Lierre,198,Bien desservi
Belgique,1004,Aarschot,Lierre,132,Bien desservi
Belgique,1004,Aarschot,Lierre,66,Bien desservi
