route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,IC,Binche -- Braine-le-Comte,,103,,,
10,NMBS/SNCB,BUS,Breda (NL) -- Noorderkempen (Brecht),,700,,,
100,NMBS/SNCB,IC,Bruxelles-Midi -- Namur,,103,,,
1000,NMBS/SNCB,BUS,Landen -- Liège-Guillemins,,700,,,
1001,NMBS/SNCB,BUS,Louvain -- Ans,,700,,,
1002,NMBS/SNCB,BUS,Anvers-Central -- Aarschot,,700,,,
1003,NMBS/SNCB,BUS,Begijnendijk -- Louvain,,700,,,
1004,NMBS/SNCB,BUS,Lierre -- Aarschot,,700,,,
1005,NMBS/SNCB,BUS,Lierre -- Heist-op-den-Berg,,700,,,
1006,NMBS/SNCB,BUS,Heist-op-den-Berg -- Aarschot,,700,,,
1007,NMBS/SNCB,BUS,Lierre -- Louvain,,700,,,
1008,NMBS/SNCB,BUS,Anvers-Central -- Heist-op-den-Berg,,700,,,
1009,NMBS/SNCB,BUS,Heist-op-den-Berg -- Louvain,,700,,,
101,NMBS/SNCB,IC,Namur -- Yvoir,,103,,,
1010,NMBS/SNCB,BUS,La Panne -- Dixmude,,700,,,
1011,NMBS/SNCB,BUS,Lichtervelde -- La Panne,,700,,,
1012,NMBS/SNCB,BUS,Ottignies -- Wavre,,700,,,
1013,NMBS/SNCB,BUS,Nivelles -- Luttre,,700,,,
1014,NMBS/SNCB,BUS,Bruxelles-Midi -- Charleroi-Central,,700,,,
1015,NMBS/SNCB,BUS,Opwijk -- Termonde,,700,,,
1016,NMBS/SNCB,BUS,Hal -- Grammont,,700,,,
1017,NMBS/SNCB,BUS,Hal -- Braine-le-Comte,,700,,,
1018,NMBS/SNCB,BUS,Bruxelles-Midi -- Braine-le-Comte,,700,,,
1019,NMBS/SNCB,BUS,La Louvière-Centre -- Manage,,700,,,
102,NMBS/SNCB,L,Bertrix -- Gedinne,,100,,,
1020,NMBS/SNCB,BUS,Lierre -- Turnhout,,700,,,
1021,NMBS/SNCB,BUS,La Louvière-Sud -- Manage,,700,,,
1022,NMBS/SNCB,BUS,Hal -- La Louvière-Sud,,700,,,
1023,NMBS/SNCB,BUS,Deinze -- Lichtervelde,,700,,,
1024,NMBS/SNCB,BUS,Hasselt -- Genk,,700,,,
1025,NMBS/SNCB,BUS,Hasselt -- Tirlemont,,700,,,
1026,NMBS/SNCB,BUS,Bruxelles-Midi -- Hal,,700,,,
1027,NMBS/SNCB,BUS,Mons -- Soignies,,700,,,
1028,NMBS/SNCB,BUS,Jurbise -- Braine-le-Comte,,700,,,
1029,NMBS/SNCB,BUS,Statte -- Namur,,700,,,
103,NMBS/SNCB,L,Ottignies -- Wavre,,100,,,
1030,NMBS/SNCB,BUS,Flémalle-Haute -- Statte,,700,,,
1031,NMBS/SNCB,BUS,Charleroi-Central -- Tamines,,700,,,
1032,NMBS/SNCB,BUS,Namur -- Tamines,,700,,,
1033,NMBS/SNCB,BUS,Mons -- La Louvière-Sud,,700,,,
1034,NMBS/SNCB,BUS,Tournai -- Mouscron,,700,,,
1035,NMBS/SNCB,BUS,Blaton -- Tournai,,700,,,
1036,NMBS/SNCB,BUS,Namur -- Charleroi-Central,,700,,,
1037,NMBS/SNCB,BUS,Charleroi-Central -- Couvin,,700,,,
1038,NMBS/SNCB,BUS,Mariembourg -- Couvin,,700,,,
1039,NMBS/SNCB,BUS,Walcourt -- Couvin,,700,,,
104,NMBS/SNCB,IC,Gembloux -- Dinant,,103,,,
1040,NMBS/SNCB,IC,Anvers-Central -- Poperinge,,103,,,
1041,NMBS/SNCB,BUS,Malines -- Louvain,,700,,,
1042,NMBS/SNCB,BUS,Herentals -- Turnhout,,700,,,
1043,NMBS/SNCB,BUS,Luttre -- Manage,,700,,,
1044,NMBS/SNCB,BUS,Anvers-Central -- Mol,,700,,,
1045,NMBS/SNCB,BUS,Herentals -- Mol,,700,,,
1046,NMBS/SNCB,BUS,Mol -- Hamont,,700,,,
1047,NMBS/SNCB,BUS,Mol -- Neerpelt,,700,,,
1048,NMBS/SNCB,BUS,Lierre -- Mol,,700,,,
1049,NMBS/SNCB,BUS,Herentals -- Hamont,,700,,,
105,NMBS/SNCB,IC,Gembloux -- Yvoir,,103,,,
1050,NMBS/SNCB,BUS,Charleroi-Central -- Manage,,700,,,
1051,NMBS/SNCB,BUS,Hasselt -- Zonhoven,,700,,,
1052,NMBS/SNCB,BUS,Hasselt -- Mol,,700,,,
1053,NMBS/SNCB,BUS,Mons -- Quévy,,700,,,
1054,NMBS/SNCB,BUS,Nivelles -- Charleroi-Central,,700,,,
1055,NMBS/SNCB,BUS,Châtelet -- Tamines,,700,,,
1056,NMBS/SNCB,BUS,Ottignies -- Fleurus,,700,,,
1057,NMBS/SNCB,BUS,Charleroi-Central -- Fleurus,,700,,,
1058,NMBS/SNCB,BUS,Saint-Ghislain -- Quiévrain,,700,,,
1059,NMBS/SNCB,BUS,Rodange (LU) -- Athus,,700,,,
106,NMBS/SNCB,L,Liers -- Verviers-Central,,100,,,
1060,NMBS/SNCB,BUS,Mons -- Jurbise,,700,,,
1061,NMBS/SNCB,BUS,Jurbise -- Ath,,700,,,
1062,NMBS/SNCB,BUS,Ath -- Grammont,,700,,,
1063,NMBS/SNCB,BUS,Acren -- Houraing,,700,,,
1064,NMBS/SNCB,BUS,Liège-Guillemins -- Flémalle-Haute,,700,,,
1065,NMBS/SNCB,IC,Saint-Nicolas -- Poperinge,,103,,,
1066,NMBS/SNCB,IC,Anvers-Central -- Deinze,,103,,,
1067,NMBS/SNCB,BUS,Verviers-Central -- Welkenraedt,,700,,,
1068,NMBS/SNCB,BUS,Aachen Hbf (DE) -- Welkenraedt,,700,,,
1069,NMBS/SNCB,P,Bruges -- Gand-Saint-Pierre,,103,,,
107,NMBS/SNCB,IC,Liège-Saint-Lambert -- Huy,,103,,,
1070,NMBS/SNCB,BUS,Liège-Guillemins -- Voroux,,700,,,
1071,NMBS/SNCB,BUS,Liège-Guillemins -- Rivage,,700,,,
1072,NMBS/SNCB,BUS,Liège-Guillemins -- Trois-Ponts,,700,,,
1073,NMBS/SNCB,BUS,Gouvy -- Trois-Ponts,,700,,,
1074,NMBS/SNCB,BUS,Hasselt -- Tongres,,700,,,
1075,NMBS/SNCB,BUS,Tongres -- Liers,,700,,,
1076,NMBS/SNCB,P,Bruges -- Grammont,,103,,,
1077,NMBS/SNCB,BUS,Liège-Guillemins -- Liers,,700,,,
1078,NMBS/SNCB,BUS,Liège-Guillemins -- Bomal,,700,,,
1079,NMBS/SNCB,BUS,Marloie -- Bomal,,700,,,
108,NMBS/SNCB,IC,Liège-Guillemins -- Flémalle-Haute,,103,,,
1080,NMBS/SNCB,BUS,Rochefort-Jemelle -- Bomal,,700,,,
1081,NMBS/SNCB,P,Bruges -- Blankenberge,,103,,,
1082,NMBS/SNCB,BUS,Ottignies -- Louvain-la-Neuve,,700,,,
1083,NMBS/SNCB,P,Bruges -- Zeebrugge-Dorp,,103,,,
1084,NMBS/SNCB,BUS,Ottignies -- Charleroi-Central,,700,,,
1085,NMBS/SNCB,BUS,Namur -- Courrière,,700,,,
1086,NMBS/SNCB,BUS,Kleinbettingen (LU) -- Arlon,,700,,,
1087,NMBS/SNCB,BUS,Arlon -- Athus,,700,,,
1088,NMBS/SNCB,BUS,Bertrix -- Virton,,700,,,
1089,NMBS/SNCB,BUS,Virton -- Athus,,700,,,
109,NMBS/SNCB,P,Ottignies -- Arlon,,103,,,
1090,NMBS/SNCB,BUS,Libramont -- Virton,,700,,,
1091,NMBS/SNCB,BUS,Beauraing -- Gedinne,,700,,,
1092,NMBS/SNCB,BUS,Namur -- Beauraing,,700,,,
1093,NMBS/SNCB,BUS,Houyet -- Beauraing,,700,,,
1094,NMBS/SNCB,BUS,Dinant -- Houyet,,700,,,
1095,NMBS/SNCB,BUS,Libramont -- Bertrix,,700,,,
1096,NMBS/SNCB,BUS,Rhisnes -- Namur,,700,,,
1097,NMBS/SNCB,BUS,Alost -- Denderleeuw,,700,,,
1098,NMBS/SNCB,P,Bruges -- Knokke,,103,,,
1099,NMBS/SNCB,BUS,Ottignies -- Bruxelles-Midi,,700,,,
11,NMBS/SNCB,BUS,Lille Flandres (FR) -- Mouscron,,700,,,
110,NMBS/SNCB,L,Libramont -- Bertrix,,100,,,
1100,NMBS/SNCB,BUS,Bruxelles-Luxembourg -- Ottignies,,700,,,
1101,NMBS/SNCB,BUS,Audenarde -- Burst,,700,,,
1102,NMBS/SNCB,BUS,Verviers-Central -- Spa-Géronstère,,700,,,
1103,NMBS/SNCB,BUS,Charleroi-Central -- Walcourt,,700,,,
1104,NMBS/SNCB,P,Courtrai -- Poperinge,,103,,,
1105,NMBS/SNCB,S51,Gand-Saint-Pierre -- Eeklo,,100,,,
1106,NMBS/SNCB,P,Louvain -- Saint-Nicolas,,103,,,
1107,NMBS/SNCB,P,Malines -- Saint-Nicolas,,103,,,
1108,NMBS/SNCB,BUS,Courtrai -- Comines,,700,,,
1109,NMBS/SNCB,P,Gand-Saint-Pierre -- Termonde,,103,,,
111,NMBS/SNCB,L,Arlon -- Athus,,100,,,
1110,NMBS/SNCB,P,Malines -- Termonde,,103,,,
1111,NMBS/SNCB,BUS,Anvers-Central -- Noorderkempen (Brecht),,700,,,
1112,NMBS/SNCB,P,Louvain -- Termonde,,103,,,
1113,NMBS/SNCB,IC,Anvers-Berchem -- Poperinge,,103,,,
1114,NMBS/SNCB,TRN,Anvers-Central -- Poperinge,,103,,,
1115,NMBS/SNCB,BUS,Maastricht (NL) -- Liège-Guillemins,,700,,,
1116,NMBS/SNCB,BUS,Maastricht (NL) -- Visé,,700,,,
1117,NMBS/SNCB,BUS,Mouscron -- Courtrai,,700,,,
1118,NMBS/SNCB,BUS,Maubeuge (FR) -- Charleroi-Central,,700,,,
1119,NMBS/SNCB,IC,Anvers-Central -- Menin,,103,,,
112,NMBS/SNCB,IC,Liège-Guillemins -- Liers,,103,,,
1120,NMBS/SNCB,P,Bruxelles-Midi -- Mol,,103,,,
1121,NMBS/SNCB,P,Bruxelles-Midi -- Neerpelt,,103,,,
1122,NMBS/SNCB,IC,Saint-Nicolas -- Courtrai,,103,,,
1123,NMBS/SNCB,P,Noorderkempen (Brecht) -- Anvers-Berchem,,103,,,
1124,NMBS/SNCB,P,Anvers-Central -- Noorderkempen (Brecht),,103,,,
1125,NMBS/SNCB,P,Brussels Airport-Zaventem -- Noorderkempen (Brecht),,103,,,
1126,NMBS/SNCB,IC,Anvers-Berchem -- Gand-Saint-Pierre,,103,,,
1127,NMBS/SNCB,IC,Anvers-Central -- Gand-Dampoort,,103,,,
1128,NMBS/SNCB,IC,Anvers-Central -- Waregem,,103,,,
1129,NMBS/SNCB,P,Anvers-Central -- Essen,,103,,,
113,NMBS/SNCB,L,Libramont -- Arlon,,100,,,
1130,NMBS/SNCB,S33,Anvers-Berchem -- Herentals,,100,,,
1131,NMBS/SNCB,S33,Lierre -- Herentals,,100,,,
1132,NMBS/SNCB,P,Anvers-Central -- Aarschot,,103,,,
1133,NMBS/SNCB,P,Anvers-Central -- Louvain,,103,,,
1134,NMBS/SNCB,P,Bruxelles-Midi -- Tongres,,103,,,
1135,NMBS/SNCB,P,Hasselt -- Louvain,,103,,,
1136,NMBS/SNCB,P,Tongres -- Louvain,,103,,,
1137,NMBS/SNCB,S44,Landen -- Ans,,100,,,
1138,NMBS/SNCB,P,Malines -- Louvain,,103,,,
1139,NMBS/SNCB,P,Bruxelles-Midi -- Liège-Guillemins,,103,,,
114,NMBS/SNCB,IC,Liège-Guillemins -- Trois-Ponts,,103,,,
1140,NMBS/SNCB,IC,Gand-Saint-Pierre -- Deinze,,103,,,
