route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,88____:007::8882362:8883006:6:603:20260821,Braine-le-Comte,10300,,1,,1
1,000001,88____:007::8882362:8883006:6:703:20260821,Braine-le-Comte,10301,,2,,1
1,000001,88____:007::8882362:8883006:6:803:20260821,Braine-le-Comte,10302,,3,,1
1,000001,88____:007::8882362:8883006:6:903:20260821,Braine-le-Comte,10303,,4,,1
1,000001,88____:007::8882362:8883006:6:1003:20260821,Braine-le-Comte,10304,,5,,1
2,000002,88____:007::8885001:8814001:8:624:20260823,Bruxelles-Midi,10305,,6,,1
3,000003,88____:007::8885001:8811007:11:647:20260816,Schaerbeek,10305,,7,,1
1,000001,88____:007::8882362:8883006:6:1103:20260821,Braine-le-Comte,10305,,8,,1
3,000003,88____:007::8885001:8811007:11:747:20260816,Schaerbeek,10306,,9,,1
2,000002,88____:007::8885001:8814001:8:724:20260823,Bruxelles-Midi,10306,,10,,1
1,000001,88____:007::8882362:8883006:6:1203:20260821,Braine-le-Comte,10306,,11,,1
1,000001,88____:007::8882362:8883006:6:1303:20260821,Braine-le-Comte,10307,,12,,1
3,000003,88____:007::8885001:8811007:11:847:20260816,Schaerbeek,10307,,13,,1
2,000002,88____:007::8885001:8814001:8:824:20260823,Bruxelles-Midi,10307,,14,,1
2,000002,88____:007::8885001:8814001:8:924:20260823,Bruxelles-Midi,10308,,15,,1
3,000003,88____:007::8885001:8811007:11:947:20260816,Schaerbeek,10308,,16,,1
1,000001,88____:007::8882362:8883006:6:1403:20260821,Braine-le-Comte,10308,,17,,1
1,000001,88____:007::8882362:8883006:6:1503:20260821,Braine-le-Comte,10309,,18,,1
3,000003,88____:007::8885001:8811007:11:1047:20260816,Schaerbeek,10309,,19,,1
2,000002,88____:007::8885001:8814001:8:1024:20260823,Bruxelles-Midi,10309,,20,,1
1,000001,88____:007::8882362:8883006:6:1603:20260821,Braine-le-Comte,10310,,21,,1
2,000002,88____:007::8885001:8814001:8:1124:20260823,Bruxelles-Midi,10310,,22,,1
3,000003,88____:007::8885001:8811007:11:1147:20260816,Schaerbeek,10310,,23,,1
1,000001,88____:007::8882362:8883006:6:1703:20260821,Braine-le-Comte,10311,,24,,1
2,000002,88____:007::8885001:8814001:8:1224:20260823,Bruxelles-Midi,10311,,25,,1
3,000003,88____:007::8885001:8811007:11:1247:20260816,Schaerbeek,10311,,26,,1
3,000003,88____:007::8885001:8811007:11:1347:20260816,Schaerbeek,10312,,27,,1
1,000001,88____:007::8882362:8883006:6:1803:20260821,Braine-le-Comte,10312,,28,,1
2,000002,88____:007::8885001:8814001:8:1324:20260823,Bruxelles-Midi,10312,,29,,1
3,000003,88____:007::8885001:8811007:11:1447:20260816,Schaerbeek,10313,,30,,1
1,000001,88____:007::8882362:8883006:6:1903:20260821,Braine-le-Comte,10313,,31,,1
2,000002,88____:007::8885001:8814001:8:1424:20260823,Bruxelles-Midi,10313,,32,,1
3,000003,88____:007::8885001:8811007:11:1547:20260816,Schaerbeek,10314,,33,,1
2,000002,88____:007::8885001:8814001:8:1524:20260823,Bruxelles-Midi,10314,,34,,1
1,000001,88____:007::8882362:8883006:6:2003:20260821,Braine-le-Comte,10314,,35,,1
2,000002,88____:007::8885001:8814001:8:1624:20260823,Bruxelles-Midi,10315,,36,,1
3,000003,88____:007::8885001:8811007:11:1647:20260816,Schaerbeek,10315,,37,,1
1,000001,88____:007::8882362:8883006:6:2103:20260821,Braine-le-Comte,10315,,38,,1
2,000002,88____:007::8885001:8814001:8:1724:20260823,Bruxelles-Midi,10316,,39,,1
1,000001,88____:007::8882362:8883006:6:2203:20260821,Braine-le-Comte,10316,,40,,1
3,000003,88____:007::8885001:8811007:11:1747:20260816,Schaerbeek,10316,,41,,1
2,000002,88____:007::8885001:8814001:8:1824:20260823,Bruxelles-Midi,10317,,42,,1
3,000003,88____:007::8885001:8811007:11:1847:20260816,Schaerbeek,10317,,43,,1
3,000003,88____:007::8885001:8811007:11:1947:20260816,Schaerbeek,10318,,44,,1
2,000002,88____:007::8885001:8814001:8:1924:20260823,Bruxelles-Midi,10318,,45,,1
3,000003,88____:007::8885001:8811007:11:2047:20260816,Schaerbeek,10319,,46,,1
2,000002,88____:007::8885001:8814001:8:2024:20260823,Bruxelles-Midi,10319,,47,,1
3,000003,88____:007::8885001:8811007:11:2147:20260816,Schaerbeek,10320,,48,,1
2,000002,88____:007::8885001:8814001:8:2124:20260823,Bruxelles-Midi,10320,,49,,1
1,000001,88____:007::8883006:8882362:6:741:20260821,Binche,10320,,50,,1
1,000001,88____:007::8883006:8882362:6:841:20260821,Binche,10321,,51,,1
2,000002,88____:007::8885001:8814001:8:2224:20260823,Bruxelles-Midi,10321,,52,,1
