route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000001,OCESN117756F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1112:20260523,117756,1,1,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000002,OCESN117758F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1311:20260523,117758,1,2,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000003,OCESN117760F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:2:1522:20260510,117760,1,3,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000004,OCESN117760F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1511:20260614,117760,1,4,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000005,OCESN117760F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1511:20260621,117760,1,5,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000004,OCESN117762F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1711:20260614,117762,1,6,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000006,OCESN117762F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1711:20260206,117762,1,7,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000007,OCESN117762F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1711:20260621,117762,1,8,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000008,OCESN117764F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1911:20260621,117764,1,9,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000009,OCESN117769F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1244:20260501,117769,0,10,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000010,OCESN117769F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1244:20260508,117769,0,11,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000011,OCESN117769F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1245:20260514,117769,0,12,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000012,OCESN117769F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1244:20260523,117769,0,13,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000013,OCESN117771F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1445:20260404,117771,0,14,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000014,OCESN117771F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1444:20260221,117771,0,15,
