route_long_name,route_short_name,agency_id,route_type,route_id
,EC,11,2,19
,EC,12,2,48
,EC,3,2,61
,EC,6,2,36
,EC,9,2,32
,EC 62,1,2,77
,EC 62,12,2,44
,EC 85,1,2,28
,EC 85,14,2,45
,EC 89,1,2,78
,EC 90,1,2,7
,EC 90,12,2,49
,EC 95,1,2,1
,EC 95,2,2,62
,EC 96,1,2,69
,EC 96,2,2,21
,EC 97,1,2,37
,ECE,13,2,79
,ECE 20,1,2,87
,ECE 27,1,2,33
,ECE 75,1,2,2
,ECE 85,1,2,38
,ECE 88,1,2,50
,EN,10,2,91
,EN,11,2,39
,EN,12,2,63
,EN,2,2,51
,EN,6,2,34
,EN,9,2,92
,IC,12,2,88
,IC,13,2,20
,IC,2,2,4
,IC,3,2,52
,IC,4,2,58
,IC,8,2,40
,IC,9,2,3
,IC 1,3,2,80
,IC 17,1,2,22
,IC 35,1,2,8
,IC 51,1,2,89
,IC 55,1,2,93
,IC 56,1,2,29
,IC 57,1,2,13
,IC 60,1,2,5
,IC 61,1,2,81
,IC 61,3,2,64
,IC 87,1,2,6
,ICE,12,2,65
,ICE,3,2,41
,ICE,7,2,14
,ICE 1,1,2,53
,ICE 10,1,2,70
,ICE 11,1,2,42
,ICE 12,1,2,15
,ICE 13,1,2,82
,ICE 14,1,2,59
,ICE 15,1,2,90
,ICE 17,1,2,66
,ICE 18,1,2,9
,ICE 20,1,2,83
,ICE 22,1,2,71
,ICE 23,1,2,60
,ICE 24,1,2,46
,ICE 25,1,2,84
,ICE 26,1,2,72
,ICE 27,1,2,23
,ICE 28,1,2,73
,ICE 29,1,2,54
,ICE 3,1,2,30
,ICE 33,1,2,55
,ICE 4,1,2,94
,ICE 41,1,2,24
,ICE 42,1,2,74
,ICE 43,1,2,85
,ICE 45,1,2,31
,ICE 47,1,2,75
,ICE 49,1,2,25
,ICE 50,1,2,67
,ICE 55,1,2,26
,ICE 6,1,2,86
,ICE 60,1,2,16
,ICE 62,1,2,68
,ICE 77,1,2,95
,ICE 78,1,2,10
,ICE 79,1,2,17
,ICE 82,1,2,56
,ICE 82,5,2,11
,ICE 83,1,2,27
,ICE 83,5,2,12
,ICE 90,1,2,35
,ICE 91,1,2,76
,RJ,10,2,96
,RJ,12,2,57
,RJ,13,2,43
,RJ,6,2,47
,RJ,9,2,18
