trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1046185,10:50:00,10:50:00,332431,0,Berlin Gesundbrunnen,,
1046185,11:06:00,11:06:00,641902,1,Berlin Gesundbrunnen,1,1
1046185,11:09:00,11:12:00,264226,2,Berlin Gesundbrunnen,,
1046185,12:25:00,12:25:00,194067,3,Berlin Gesundbrunnen,,
1071622,10:50:00,10:50:00,332431,0,Berlin Hbf,,
1071622,11:06:00,11:06:00,641902,1,Berlin Hbf,1,1
1071622,11:09:00,11:12:00,11405,2,Berlin Hbf,,
1071622,12:06:00,12:09:00,403272,3,Berlin Hbf,1,
1071622,12:17:00,12:17:00,35733,4,Berlin Hbf,,
1080585,16:50:00,16:50:00,332431,0,Berlin Gesundbrunnen,,
1080585,17:06:00,17:06:00,641902,1,Berlin Gesundbrunnen,1,1
1080585,17:09:00,17:12:00,264226,2,Berlin Gesundbrunnen,,
1080585,18:25:00,18:25:00,194067,3,Berlin Gesundbrunnen,,
1095929,13:52:00,13:52:00,328823,0,Rzepin,,
1095929,13:59:00,14:00:00,390636,1,Rzepin,,1
1095929,14:47:00,14:50:00,669853,2,Rzepin,,
1095929,14:52:00,14:52:00,641902,3,Rzepin,1,1
1095929,15:07:00,15:07:00,332431,4,Rzepin,,
1206601,11:44:00,11:44:00,194067,0,Rzepin,,
1206601,12:47:00,12:50:00,264226,1,Rzepin,,
1206601,12:52:00,12:52:00,641902,2,Rzepin,1,1
1206601,13:07:00,13:07:00,332431,3,Rzepin,,
1220179,18:50:00,18:50:00,332431,0,Berlin Hbf,,
1220179,19:06:00,19:06:00,641902,1,Berlin Hbf,1,1
1220179,19:09:00,19:12:00,515084,2,Berlin Hbf,,
1220179,20:06:00,20:09:00,403272,3,Berlin Hbf,1,
1220179,20:16:00,20:16:00,35733,4,Berlin Hbf,,
1244813,20:50:00,20:50:00,332431,0,Berlin Gesundbrunnen,,
1244813,21:06:00,21:06:00,641902,1,Berlin Gesundbrunnen,1,1
1244813,21:09:00,21:12:00,515084,2,Berlin Gesundbrunnen,,
1244813,21:55:00,21:55:00,194067,3,Berlin Gesundbrunnen,,
1245802,20:53:00,20:53:00,18511,0,Rzepin,,
1245802,21:58:00,22:14:00,669853,1,Rzepin,,
1245802,22:17:00,22:17:00,641902,2,Rzepin,1,1
1245802,22:39:00,22:39:00,332431,3,Rzepin,,
1337825,12:50:00,12:50:00,332431,0,Berlin Gesundbrunnen,,
1337825,13:06:00,13:06:00,641902,1,Berlin Gesundbrunnen,1,1
1337825,13:09:00,13:12:00,264226,2,Berlin Gesundbrunnen,,
1337825,14:25:00,14:25:00,194067,3,Berlin Gesundbrunnen,,
1363073,17:52:00,17:52:00,328823,0,Rzepin,,
1363073,17:59:00,18:00:00,390636,1,Rzepin,,1
1363073,18:47:00,18:50:00,669853,2,Rzepin,,
1363073,18:52:00,18:52:00,641902,3,Rzepin,1,1
1363073,19:07:00,19:07:00,332431,4,Rzepin,,
1364081,13:44:00,13:44:00,194067,0,Rzepin,,
