stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
's-Hertogenbosch,,583790,51.69054,5.293723,1,
's-Hertogenbosch,583790,658035,51.69054,5.293723,,
Aachen Hbf,46943,98749,50.7678,6.091499,,
Aachen Süd(Gr),,658797,50.731915,6.04541,1,
Aachen Süd(Gr),658797,654618,50.731915,6.04541,,
"Aachen, Hbf",,46943,50.767723,6.092051,1,
Aalen Hbf,621656,66775,48.841015,10.096271,,
"Aalen, Hauptbahnhof",,621656,48.841602,10.096031,1,
Amersfoort Centraal,,276972,52.153465,5.373909,1,
Amersfoort Centraal,276972,380003,52.153465,5.373909,,
Amsterdam Bijlmer ArenA,,535350,52.31222,4.947142,1,
Amsterdam Bijlmer ArenA,535350,310486,52.31222,4.947142,,
Amsterdam Centraal,,279486,52.37919,4.899431,1,
Amsterdam Centraal,279486,14207,52.37919,4.899431,,
Andernach,82660,189202,50.434544,7.404839,,
Andernach Bahnhof,,82660,50.434544,7.40484,1,
Angermünde,182023,361244,53.01574,13.995672,,5
Angermünde,182023,449778,53.015793,13.995908,,3
Angermünde,182023,498401,53.015854,13.996267,,1
"Angermünde, Bahnhof",,182023,53.015823,13.995871,1,
Anklam,,495071,53.855984,13.701563,1,
Anklam,495071,84170,53.856102,13.701827,,
Ansbach,,234614,49.29803,10.578246,1,
Ansbach,234614,261882,49.29803,10.578239,,
Apeldoorn,,161490,52.20943,5.968491,1,
Apeldoorn,161490,508093,52.20943,5.968491,,
Arnhem Centraal,,22142,51.98478,5.901003,1,
Arnhem Centraal,22142,436407,51.98478,5.901003,,
Aschaffenburg Hbf,,622329,49.980556,9.1437,1,
Aschaffenburg Hbf,622329,564815,49.980556,9.143697,,
Augsburg Hbf,,144058,48.36544,10.885569,1,
Augsburg Hbf,144058,368483,48.36544,10.88557,,
Augustfehn,,458089,53.220894,7.759677,1,
Augustfehn,458089,326120,53.22084,7.759684,,
Bad Bentheim,412325,541370,52.30985,7.158539,,
Bad Bentheim Bahnhof,,412325,52.30953,7.158737,1,
Bad Bentheim(Gr),,232902,52.3091,7.04016,1,
Bad Bentheim(Gr),232902,650095,52.3091,7.04016,,
Bad Gastein,,196755,47.11178,13.131924,1,
Bad Gastein,196755,371023,47.11178,13.131924,,
Bad Hersfeld,,6612,50.869766,9.716581,1,
Bad Hersfeld,6612,145241,50.869766,9.716581,,
Bad Hofgastein,,375515,47.195343,13.100503,1,
Bad Hofgastein,375515,306792,47.195343,13.100503,,
Bad Kleinen,21521,572075,53.766975,11.466925,,
Bad Kleinen Bahnhof,,21521,53.76746,11.466429,1,
Bad Oeynhausen,147828,440844,52.2054,8.796523,,
"Bad Oeynhausen, Bf/ZOB",,147828,52.2054,8.796519,1,
Bad Schandau,238977,572097,50.91929,14.137538,,
Bad Schandau Nationalparkbahnhof,,238977,50.91927,14.138099,1,
Bad Zwischenahn,,140146,53.182568,8.002996,1,
Bad Zwischenahn,140146,652611,53.18242,8.003398,,
Baden(CH),,578395,47.476425,8.307709,1,
Baden(CH),578395,302732,47.476425,8.307709,,
Baden-Baden,,480041,48.7902,8.191036,1,
