data_source,route_id,id_origin_city,id_destination_city,weekly_train,desserte_type
austria,1-80-j26-1,at:49:1349:0:10,at:43:4132:0:1,1,Sous-desservi
austria,1-MB4-j26-1,at:48:130:0:12,at:48:134:0:8,37,Desserte Normale
austria,1-MB4-j26-1,at:48:134:0:8,at:48:130:0:1,1,Sous-desservi
austria,1-MB4-j26-1,at:48:134:0:8,at:48:130:0:10,3,Sous-desservi
austria,1-MB4-j26-1,at:48:134:0:8,at:48:130:0:4,37,Desserte Normale
austria,1-MS1-V-j26-1,at:48:130:0:4,at:48:452:0:11,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:2127:0:1,at:42:2128:0:4,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:2127:0:1,at:42:3657:0:2,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:2127:0:1,at:42:3715:0:1,11,Desserte Normale
austria,1-S1-K-j26-1,at:42:2127:0:1,at:42:3715:0:2,2,Sous-desservi
austria,1-S1-K-j26-1,at:42:2128:0:5,at:42:3642:0:2,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:2128:0:5,at:42:3715:0:1,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3642:0:4,at:42:3715:0:1,2,Sous-desservi
austria,1-S1-K-j26-1,at:42:3642:0:4,at:42:3715:0:2,2,Sous-desservi
austria,1-S1-K-j26-1,at:42:3642:0:4,at:42:3825:0:2,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3642:0:5,at:42:3715:0:2,5,Sous-desservi
austria,1-S1-K-j26-1,at:42:3642:0:5,at:42:3826:0:1,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3642:0:6,at:42:3715:0:2,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3642:0:7,at:42:3654:0:1,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3642:0:7,at:42:3654:0:33,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:1,at:42:3642:0:3,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:1,at:42:3642:0:4,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:1,at:42:3642:0:5,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:1,at:42:3642:0:7,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:1,at:42:3715:0:1,5,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:1,at:42:3715:0:2,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:33,at:42:3642:0:4,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:33,at:42:3642:0:7,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:33,at:42:3715:0:1,6,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:33,at:42:3715:0:2,9,Desserte Normale
austria,1-S1-K-j26-1,at:42:3654:0:34,at:42:2128:0:7,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:34,at:42:3715:0:1,2,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:34,at:42:3715:0:2,3,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:5,at:42:3642:0:4,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:5,at:42:3642:0:7,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:5,at:42:3715:0:1,4,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:5,at:42:3715:0:2,3,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:6,at:42:3642:0:4,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:6,at:42:3715:0:1,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3654:0:6,at:42:3715:0:2,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:1,at:42:2127:0:1,2,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:1,at:42:2128:0:7,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:1,at:42:3642:0:5,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:1,at:42:3642:0:6,2,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:1,at:42:3642:0:7,2,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:1,at:42:3654:0:1,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:1,at:42:3654:0:3,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:1,at:42:3654:0:33,4,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:1,at:42:3654:0:5,3,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:1,at:42:3654:0:7,2,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:2,at:42:2127:0:1,11,Desserte Normale
austria,1-S1-K-j26-1,at:42:3715:0:2,at:42:3642:0:5,2,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:2,at:42:3642:0:7,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:2,at:42:3654:0:3,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:2,at:42:3654:0:33,13,Desserte Normale
austria,1-S1-K-j26-1,at:42:3715:0:2,at:42:3654:0:34,1,Sous-desservi
austria,1-S1-K-j26-1,at:42:3715:0:2,at:42:3654:0:5,4,Sous-desservi
austria,1-S1-K-j26-1,at:42:3826:0:1,at:42:3642:0:5,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1747:0:1,at:46:3040:0:14,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1747:0:3,at:46:3040:0:16,3,Sous-desservi
austria,1-S1-M-j26-1,at:46:1747:0:3,at:46:3040:0:19,2,Sous-desservi
austria,1-S1-M-j26-1,at:46:1747:0:3,at:46:3040:0:7,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1827:0:1,at:46:2042:0:7,7,Desserte Normale
austria,1-S1-M-j26-1,at:46:1827:0:1,at:46:2065:0:26,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1827:0:1,at:46:2065:0:5,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1827:0:1,at:46:2065:0:6,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1827:0:1,at:46:3040:0:14,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1827:0:1,at:46:3040:0:16,2,Sous-desservi
austria,1-S1-M-j26-1,at:46:1827:0:1,at:46:3040:0:5,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1827:0:4,at:46:2042:0:7,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1827:0:4,at:46:3040:0:12,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1827:0:4,at:46:3040:0:14,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1827:0:4,at:46:3040:0:16,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1827:0:4,at:46:3040:0:5,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1839:0:3,at:46:2042:0:7,10,Desserte Normale
austria,1-S1-M-j26-1,at:46:1839:0:3,at:46:2065:0:26,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1839:0:3,at:46:2065:0:5,5,Sous-desservi
austria,1-S1-M-j26-1,at:46:1839:0:3,at:46:2065:0:6,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1839:0:3,at:46:3040:0:12,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:1839:0:3,at:46:3040:0:16,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:2042:0:7,at:46:3040:0:10,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:2042:0:7,at:46:3040:0:12,2,Sous-desservi
austria,1-S1-M-j26-1,at:46:2042:0:7,at:46:3040:0:14,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:2042:0:7,at:46:3040:0:7,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:2065:0:7,at:46:3040:0:14,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:2065:0:7,at:46:3040:0:16,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:3040:0:10,at:46:2042:0:7,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:3040:0:14,at:46:2042:0:7,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:3040:0:16,at:46:2065:0:3,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:3040:0:16,at:46:2065:0:4,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:3040:0:16,at:46:2065:0:5,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:3040:0:5,at:46:2042:0:7,2,Sous-desservi
austria,1-S1-M-j26-1,at:46:3040:0:5,at:46:2065:0:4,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:7426:0:5,at:46:2065:0:6,2,Sous-desservi
austria,1-S1-M-j26-1,at:46:7426:0:5,at:46:2065:0:7,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:7426:0:9,at:46:2065:0:5,1,Sous-desservi
austria,1-S1-M-j26-1,at:46:7426:0:9,at:46:2065:0:7,1,Sous-desservi
austria,1-S1-O-j26-1,at:43:7242:0:1,at:44:41164:0:4,1,Sous-desservi
austria,1-S1-O-j26-1,at:43:7242:0:3,at:44:41164:0:2,1,Sous-desservi
austria,1-S1-O-j26-1,at:43:7242:0:3,at:44:41164:0:4,1,Sous-desservi
austria,1-S1-O-j26-1,at:43:7242:0:3,at:44:43900:0:1,1,Sous-desservi
austria,1-S1-O-j26-1,at:43:7242:0:5,at:44:41164:0:10,1,Sous-desservi
austria,1-S1-O-j26-1,at:43:7242:0:5,at:44:41164:0:12,4,Sous-desservi
austria,1-S1-O-j26-1,at:43:7242:0:5,at:44:41164:0:2,1,Sous-desservi
austria,1-S1-O-j26-1,at:43:7242:0:6,at:44:41164:0:2,1,Sous-desservi
austria,1-S1-O-j26-1,at:43:7242:0:6,at:44:41164:0:4,1,Sous-desservi
austria,1-S1-O-j26-1,at:43:7242:0:6,at:44:43900:0:1,1,Sous-desservi
austria,1-S1-O-j26-1,at:43:7242:0:9,at:44:41164:0:10,1,Sous-desservi
austria,1-S1-O-j26-1,at:43:7242:0:9,at:44:41164:0:12,1,Sous-desservi
austria,1-S1-O-j26-1,at:44:41164:0:10,at:43:7242:0:5,2,Sous-desservi
austria,1-S1-O-j26-1,at:44:41164:0:10,at:43:7242:0:8,1,Sous-desservi
austria,1-S1-O-j26-1,at:44:41164:0:10,at:44:43900:0:1,3,Sous-desservi
austria,1-S1-O-j26-1,at:44:41164:0:11,at:43:7242:0:3,1,Sous-desservi
austria,1-S1-O-j26-1,at:44:41164:0:11,at:43:7242:0:5,8,Desserte Normale
austria,1-S1-O-j26-1,at:44:41164:0:11,at:44:43900:0:1,7,Desserte Normale
austria,1-S1-O-j26-1,at:44:41164:0:11,at:44:43900:0:2,3,Sous-desservi
austria,1-S1-O-j26-1,at:44:41164:0:12,at:43:7242:0:5,1,Sous-desservi
austria,1-S1-O-j26-1,at:44:41164:0:12,at:44:43900:0:1,5,Sous-desservi
austria,1-S1-O-j26-1,at:44:41164:0:12,at:44:43900:0:2,8,Desserte Normale
austria,1-S1-O-j26-1,at:44:41164:0:2,at:44:43900:0:2,2,Sous-desservi
austria,1-S1-O-j26-1,at:44:41164:0:8,at:43:7242:0:5,3,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:1,at:43:7242:0:6,1,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:1,at:44:41164:0:1,1,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:1,at:44:41164:0:10,1,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:1,at:44:41164:0:11,5,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:1,at:44:41164:0:12,8,Desserte Normale
austria,1-S1-O-j26-1,at:44:43900:0:1,at:44:41164:0:4,5,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:1,at:44:41164:0:5,2,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:1,at:44:41164:0:8,1,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:1,at:44:41164:0:9,3,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:2,at:43:7242:0:5,1,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:2,at:43:7242:0:6,1,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:2,at:44:41164:0:10,1,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:2,at:44:41164:0:11,4,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:2,at:44:41164:0:12,2,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:2,at:44:41164:0:2,3,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:2,at:44:41164:0:3,2,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:2,at:44:41164:0:4,4,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:2,at:44:41164:0:5,1,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:2,at:44:41164:0:6,1,Sous-desservi
austria,1-S1-O-j26-1,at:44:43900:0:2,at:44:41164:0:9,2,Sous-desservi
austria,1-S1-S-j26-1,at:46:1827:0:1,at:46:7426:0:5,8,Desserte Normale
austria,1-S1-S-j26-1,at:46:1827:0:4,at:46:7426:0:5,12,Desserte Normale
austria,1-S1-S-j26-1,at:46:1839:0:1,at:46:7426:0:5,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:1839:0:3,at:46:7426:0:5,3,Sous-desservi
austria,1-S1-S-j26-1,at:46:2042:0:7,at:46:1827:0:1,7,Desserte Normale
austria,1-S1-S-j26-1,at:46:2042:0:7,at:46:1827:0:4,2,Sous-desservi
austria,1-S1-S-j26-1,at:46:2042:0:7,at:46:1839:0:3,8,Desserte Normale
austria,1-S1-S-j26-1,at:46:2065:0:26,at:46:1839:0:3,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:2065:0:3,at:46:1827:0:1,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:2065:0:4,at:46:7426:0:3,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:2065:0:4,at:46:7426:0:9,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:2065:0:5,at:46:1827:0:1,2,Sous-desservi
austria,1-S1-S-j26-1,at:46:2065:0:5,at:46:1839:0:3,6,Sous-desservi
austria,1-S1-S-j26-1,at:46:2065:0:6,at:46:1839:0:3,2,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:10,at:46:1839:0:3,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:12,at:46:1839:0:1,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:12,at:46:1839:0:3,2,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:14,at:46:1747:0:3,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:14,at:46:1839:0:3,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:14,at:46:1839:0:4,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:14,at:46:7426:0:5,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:16,at:46:1747:0:3,3,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:16,at:46:1839:0:3,2,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:16,at:46:7426:0:5,2,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:19,at:46:1747:0:1,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:19,at:46:1747:0:3,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:5,at:46:1827:0:4,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:5,at:46:1839:0:3,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:3040:0:7,at:46:1747:0:3,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:7426:0:5,at:46:1827:0:1,13,Desserte Normale
austria,1-S1-S-j26-1,at:46:7426:0:5,at:46:1827:0:4,13,Desserte Normale
austria,1-S1-S-j26-1,at:46:7426:0:5,at:46:3040:0:12,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:7426:0:9,at:46:1827:0:1,1,Sous-desservi
austria,1-S1-S-j26-1,at:46:7426:0:9,at:46:1827:0:4,2,Sous-desservi
austria,1-S1-V-j26-1,at:48:1029:0:4,at:48:466:0:5,1,Sous-desservi
austria,1-S1-V-j26-1,at:48:1029:0:4,at:48:466:0:7,1,Sous-desservi
austria,1-S1-V-j26-1,at:48:130:0:10,at:48:452:0:10,1,Sous-desservi
austria,1-S1-V-j26-1,at:48:130:0:2,at:48:466:0:7,1,Sous-desservi
austria,1-S1-V-j26-1,at:48:130:0:2,at:48:889:0:3,1,Sous-desservi
austria,1-S1-V-j26-1,at:48:130:0:4,at:48:413:0:1,2,Sous-desservi
