data_source,route_id,id_origin_city,id_destination_city,weekly_train,desserte_type
germany,1,18511,332431,2,Sous-desservi
germany,1,194067,332431,9,Desserte Normale
germany,1,328823,332431,11,Desserte Normale
germany,1,332431,194067,13,Desserte Normale
germany,1,332431,35733,5,Sous-desservi
germany,1,332431,368909,2,Sous-desservi
germany,1,332431,424235,2,Sous-desservi
germany,1,349951,332431,2,Sous-desservi
germany,10,102204,436407,3,Sous-desservi
germany,10,234276,603429,7,Desserte Normale
germany,10,283361,436407,7,Desserte Normale
germany,10,436407,283361,6,Sous-desservi
germany,10,436407,603429,41,Desserte Normale
germany,10,603429,436407,35,Desserte Normale
germany,10,603429,658035,6,Sous-desservi
germany,11,335930,428565,8,Desserte Normale
germany,11,335930,524320,14,Desserte Normale
germany,11,428565,335930,14,Desserte Normale
germany,11,428565,614673,5,Sous-desservi
germany,11,484827,335930,14,Desserte Normale
germany,12,335930,428565,7,Desserte Normale
germany,12,428565,335930,6,Sous-desservi
germany,13,148532,642086,1,Sous-desservi
germany,13,190668,642086,2,Sous-desservi
germany,13,294867,642086,2,Sous-desservi
germany,13,330754,642086,1,Sous-desservi
germany,13,455130,642086,1,Sous-desservi
germany,13,642086,148532,1,Sous-desservi
germany,13,642086,190668,2,Sous-desservi
germany,13,642086,330754,3,Sous-desservi
germany,13,642086,455130,1,Sous-desservi
germany,13,92856,642086,2,Sous-desservi
germany,14,14207,234276,9,Desserte Normale
germany,14,14207,436407,37,Desserte Normale
germany,14,14207,545116,24,Desserte Normale
germany,14,436407,14207,43,Desserte Normale
germany,14,545116,14207,29,Desserte Normale
germany,14,658035,14207,7,Desserte Normale
germany,15,211512,175060,1,Sous-desservi
germany,15,283621,321675,2,Sous-desservi
germany,15,302694,321675,3,Sous-desservi
germany,15,321675,169115,14,Desserte Normale
germany,15,321675,175060,37,Desserte Normale
germany,15,321675,283621,4,Sous-desservi
germany,15,321675,304930,6,Sous-desservi
germany,15,321675,313463,1,Sous-desservi
germany,15,321675,569485,1,Sous-desservi
