data_source,route_id,id_origin_city,id_destination_city,weekly_train,desserte_type
spain,0100751003VRX,01007,51003,1,Sous-desservi
spain,0203055020VRX,02030,55020,5,Sous-desservi
spain,0310017000VRX,03100,17000,6,Sous-desservi
spain,0310050500VRX,03100,50500,2,Sous-desservi
spain,0310051405VRX,03100,51405,15,Desserte Normale
spain,0321303216AV008,03213,03216,23,Desserte Normale
spain,0321317000AV006,03213,17000,24,Desserte Normale
spain,0321317000LC112,03213,17000,7,Desserte Normale
spain,0321360000AV006,03213,60000,2,Sous-desservi
spain,0321603213AV008,03216,03213,15,Desserte Normale
spain,0321611014AV006,03216,11014,4,Sous-desservi
spain,0321615100AV006,03216,15100,26,Desserte Normale
spain,0321617000AV006,03216,17000,57,Bien desservi
spain,0321617000LC112,03216,17000,14,Desserte Normale
spain,0321651003AV006,03216,51003,1,Sous-desservi
spain,0321665300AV006,03216,65300,4,Sous-desservi
spain,0404010600GL026,04040,10600,11,Desserte Normale
spain,0404011200GL026,04040,11200,11,Desserte Normale
spain,0404011200VRX,04040,11200,2,Sous-desservi
spain,0404011208VRX,04040,11208,10,Desserte Normale
spain,0404017000VRE,04040,17000,1,Sous-desservi
spain,0404017000VRR,04040,17000,1,Sous-desservi
spain,0404030100GL026,04040,30100,11,Desserte Normale
spain,0404060000AV006,04040,60000,3,Sous-desservi
spain,0404065000VRX,04040,65000,3,Sous-desservi
spain,0404067017VRX,04040,67017,2,Sous-desservi
spain,0404067200VRR,04040,67200,2,Sous-desservi
spain,0404070300VRE,04040,70300,1,Sous-desservi
spain,0404070300VRR,04040,70300,1,Sous-desservi
spain,0404070403VRR,04040,70403,3,Sous-desservi
spain,0404070500VRR,04040,70500,3,Sous-desservi
spain,0404070600AV008,04040,70600,12,Desserte Normale
spain,0404070600VRR,04040,70600,5,Sous-desservi
spain,0404071300VRR,04040,71300,1,Sous-desservi
spain,0404071801AV006,04040,71801,23,Desserte Normale
spain,0404071801GL023,04040,71801,30,Desserte Normale
spain,0404074200AV006,04040,74200,2,Sous-desservi
spain,0404074200VRR,04040,74200,4,Sous-desservi
spain,0404074217VRR,04040,74217,3,Sous-desservi
spain,0404078302VRE,04040,78302,1,Sous-desservi
spain,0404078302VRR,04040,78302,2,Sous-desservi
spain,0404078400AV006,04040,78400,2,Sous-desservi
spain,0404078400GL023,04040,78400,25,Desserte Normale
spain,0404078400VRE,04040,78400,3,Sous-desservi
spain,0404078400VRR,04040,78400,2,Sous-desservi
spain,0404079400VRE,04040,79400,2,Sous-desservi
spain,0430760000AV006,04307,60000,12,Desserte Normale
spain,0430760911GL012,04307,60911,1,Sous-desservi
spain,0430765000GL012,04307,65000,2,Sous-desservi
spain,0430771801AV008,04307,71801,24,Desserte Normale
spain,0430787089AV016,04307,87089,47,Desserte Normale
spain,0430787303AV016,04307,87303,10,Desserte Normale
spain,0500051003AV008,05000,51003,8,Desserte Normale
spain,0500054413AV008,05000,54413,7,Desserte Normale
spain,0500056312VRX,05000,56312,6,Sous-desservi
spain,0500060000AV006,05000,60000,10,Desserte Normale
spain,0500060000GL023,05000,60000,2,Sous-desservi
spain,0500071801AV006,05000,71801,2,Sous-desservi
spain,0519321010VRFV,05193,21010,2,Sous-desservi
spain,0545105778VRFV,05451,05778,1,Sous-desservi
spain,0545114223VRFV,05451,14223,4,Sous-desservi
spain,0549705451VRFV,05497,05451,1,Sous-desservi
spain,0557115211VRFV,05571,15211,2,Sous-desservi
spain,0577805451VRFV,05778,05451,1,Sous-desservi
spain,0600665000GL026,06006,65000,6,Sous-desservi
spain,0700461200GL026,07004,61200,2,Sous-desservi
spain,0800411014AV006,08004,11014,4,Sous-desservi
spain,0800417000AV008,08004,17000,18,Desserte Normale
spain,0800430100GL023,08004,30100,18,Desserte Normale
spain,0822311208GL023,08223,11208,25,Desserte Normale
spain,0822315100VRM,08223,15100,17,Desserte Normale
spain,0822317000AV006,08223,17000,7,Desserte Normale
spain,0822317000LC112,08223,17000,2,Sous-desservi
spain,0822322100VRM,08223,22100,17,Desserte Normale
spain,0822331400VRR,08223,31400,4,Sous-desservi
spain,0822331412VRR,08223,31412,10,Desserte Normale
spain,0822331412VRX,08223,31412,25,Desserte Normale
spain,0822371801GL023,08223,71801,25,Desserte Normale
spain,1000010600VRX,10000,10600,2,Sous-desservi
spain,1000011208VRE,10000,11208,1,Sous-desservi
spain,1000011300VRX,10000,11300,2,Sous-desservi
spain,1000011600VRX,10000,11600,4,Sous-desservi
