data_source,route_id,id_origin_city,id_destination_city,weekly_train,desserte_type
switzerland,91-1-A-j26-1,8502007,8502204,1,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:1,8502020:0:1,1,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:1,8502021:0:1,6,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:1,8502021:0:2,3,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:1,8502204:0:4,3,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:1,8502206:0:2,16,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:1,8505000:0:10,2,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:1,8505000:0:11,3,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:1,8505000:0:2,7,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:1,8505000:0:3,2,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:1,8505000:0:4,8,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:1,8505000:0:5,4,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:1,8505000:0:6,9,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:1,8505000:0:7,2,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:1,8505000:0:9,1,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:2,8502021:0:1,15,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2,8502021:0:3,21,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2,8502204:0:4,1,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:2,8502206:0:2,2,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:2,8505000:0:4,1,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:2,8505000:0:6,1,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:2CD,8502021:0:1,10,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2CD,8502021:0:2,4,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:2CD,8502021:0:3,7,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2CD,8502202:0:1,4,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:2CD,8502202:0:5,1,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:2CD,8502204:0:4,64,Bien desservi
switzerland,91-1-A-j26-1,8502007:0:2CD,8502204:0:5,7,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2CD,8502204:0:6,8,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2CD,8502204:0:7,1,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:2CD,8502206:0:2,521,Bien desservi
switzerland,91-1-A-j26-1,8502007:0:2CD,8505000:0:10,14,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2CD,8505000:0:11,8,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2CD,8505000:0:2,9,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2CD,8505000:0:3,15,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2CD,8505000:0:4,13,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2CD,8505000:0:5,5,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:2CD,8505000:0:6,24,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2CD,8505000:0:7,8,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2CD,8505000:0:8,7,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:2CD,8505000:0:9,35,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:3,8502021:0:1,1,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:3,8502021:0:2,1,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:3,8502206:0:2,3,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:3,8505000:0:10,1,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:3,8505000:0:11,2,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:3,8505000:0:2,7,Desserte Normale
switzerland,91-1-A-j26-1,8502007:0:3,8505000:0:4,5,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:3,8505000:0:5,4,Sous-desservi
switzerland,91-1-A-j26-1,8502007:0:3,8505000:0:6,1,Sous-desservi
switzerland,91-1-A-j26-1,8502020:0:1,8502007:0:2,1,Sous-desservi
switzerland,91-1-A-j26-1,8502020:0:2,8502206:0:2,4,Sous-desservi
switzerland,91-1-A-j26-1,8502021:0:1,8502007:0:2,18,Desserte Normale
switzerland,91-1-A-j26-1,8502021:0:1,8502007:0:2CD,3,Sous-desservi
switzerland,91-1-A-j26-1,8502021:0:1,8502007:0:3,6,Sous-desservi
switzerland,91-1-A-j26-1,8502021:0:1,8502204:0:4,1,Sous-desservi
switzerland,91-1-A-j26-1,8502021:0:1,8502204:0:5,1,Sous-desservi
switzerland,91-1-A-j26-1,8502021:0:1,8502206:0:2,2,Sous-desservi
switzerland,91-1-A-j26-1,8502021:0:2,8502007:0:2,1,Sous-desservi
switzerland,91-1-A-j26-1,8502021:0:2,8502007:0:2CD,2,Sous-desservi
switzerland,91-1-A-j26-1,8502021:0:2,8502007:0:3,4,Sous-desservi
switzerland,91-1-A-j26-1,8502021:0:2,8502204:0:4,6,Sous-desservi
switzerland,91-1-A-j26-1,8502021:0:2,8502204:0:5,3,Sous-desservi
switzerland,91-1-A-j26-1,8502021:0:2,8502206:0:2,6,Sous-desservi
switzerland,91-1-A-j26-1,8502021:0:3,8502007:0:2,24,Desserte Normale
switzerland,91-1-A-j26-1,8502021:0:3,8502007:0:2CD,4,Sous-desservi
switzerland,91-1-A-j26-1,8502021:0:3,8502007:0:3,1,Sous-desservi
switzerland,91-1-A-j26-1,8502200:0:1,8502202:0:1,1,Sous-desservi
switzerland,91-1-A-j26-1,8502200:0:1,8502204:0:4,13,Desserte Normale
switzerland,91-1-A-j26-1,8502200:0:1,8502204:0:5,4,Sous-desservi
switzerland,91-1-A-j26-1,8502200:0:1,8502204:0:7,4,Sous-desservi
switzerland,91-1-A-j26-1,8502200:0:1,8502206:0:2,78,Bien desservi
switzerland,91-1-A-j26-1,8502200:0:3,8502204:0:4,6,Sous-desservi
switzerland,91-1-A-j26-1,8502200:0:3,8502206:0:2,1,Sous-desservi
switzerland,91-1-A-j26-1,8502200:0:4,8502204:0:4,10,Desserte Normale
switzerland,91-1-A-j26-1,8502200:0:4,8502204:0:5,1,Sous-desservi
switzerland,91-1-A-j26-1,8502200:0:4,8502206:0:2,3,Sous-desservi
switzerland,91-1-A-j26-1,8502202:0:1,8502007:0:2CD,5,Sous-desservi
