route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color                                                                                                                                                                                                                                              
1700037606GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1700056312GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1700050300GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
5631217000GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
5030017000GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1120013200GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1151111208GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1151111200GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1120811511GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1120011511GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1320011200GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
3760617000GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
2230894346GL026,1071,TRENCELTA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
9434622308GL026,1071,TRENCELTA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
9434622402GL026,1071,TRENCELTA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
1320071801GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
0404071801GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1320011200GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7180113200GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
7180104040GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1120013200GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
6500071801GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
7180165000GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
7180111511GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1151171801GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
1151178400GL023,1071,ALVIA,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                       
2030922100GL026,1071,Intercity,,,2,,F2F5F5,                                                                                                                                                                                                                                                                                                                   
