stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding                                                                                                                                                                                                                       
17000,,Madrid-Chamartín-Clara Campoamor,,40.4711789,-3.6829524,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                            
37606,,Badajoz,,38.8906960,-6.9817530,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
37603,,Montijo,,38.9135390,-6.5985770,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
37500,,Mérida,,38.9215030,-6.3437940,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                      
35400,,Cáceres,,39.4611310,-6.3856790,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
30000,,Monfragüe,,39.9374640,-6.1009100,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                   
35206,,Navalmoral de la Mata,,39.8949130,-5.5456070,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                       
35203,,Oropesa de Toledo,,39.9217460,-5.1861370,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                           
35200,,Talavera de la Reina,,39.9706740,-4.8265120,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                        
35105,,Torrijos,,39.9790030,-4.2830370,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                    
18000,,Madrid-Atocha Cercanías,,40.4066191,-3.6894391,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                     
35001,,Leganés,,40.3286430,-3.7713161,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
30002,,Plasencia,,40.0222820,-6.0993970,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                   
56312,,Almería,,36.8349510,-2.4555190,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
56310,,Huercal-Viator,,36.8851550,-2.4367180,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                              
56200,,Guadix,,37.3168730,-3.1272090,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                      
56100,,Moreda,,37.4312160,-3.3105160,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                      
56009,,Cabra del Santo Cristo y Alicún,,37.6567129,-3.2626230,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                             
56004,,Jódar-Úbeda,,37.9133430,-3.3489200,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                 
50300,,Linares-Baeza,,38.0688640,-3.5893960,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                               
50207,,Vilches,,38.2157420,-3.5175760,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
60400,,Alcázar de San Juan,,39.3956280,-3.2057440,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                         
11200,,Miranda de Ebro,,42.6910240,-2.9403660,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                             
13200,,Bilbao-Intermod. Abando Indalecio Prieto,,43.2601304,-2.9285592,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                    
13106,,Llodio,,43.1423514,-2.9606511,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                      
11511,,San Sebastián-Donostia,,43.3176961,-1.9767172,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                      
11208,,Vitoria-Gasteiz,,42.8415170,-2.6726010,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                             
11300,,Altsasu,,42.8948470,-2.1812370,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
11400,,Zumarraga,,43.0870824,-2.3202298,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                   
22308,,Vigo-Guixar,,42.2392656,-8.7146089,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                 
94346,,Porto Campanha - O Porto Campaña,,41.1489,-8.58544,,,,,Europe/Lisbon,2                                                                                                                                                                                                                                                                                 
94021,,Nine,,41.45534,-8.54513,,,,,Europe/Lisbon,2                                                                                                                                                                                                                                                                                                            
96122,,Barcelos,,41.53673,-8.60907,,,,,Europe/Lisbon,2                                                                                                                                                                                                                                                                                                        
94033,,Viana do Castelo,,41.69517,-8.83134,,,,,Europe/Lisbon,2                                                                                                                                                                                                                                                                                                
22402,,Valença do Minho,,42.0247340,-8.6397450,,,,,Europe/Lisbon,2                                                                                                                                                                                                                                                                                            
71801,,Barcelona-Sants,,41.3798632,2.14101688,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                             
04104,,Camp de Tarragona,,41.1920660,1.27266600,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                           
78400,,Lleida-Pirineus,,41.6201300,0.63365328,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                             
04040,,Zaragoza Delicias,,41.6586576,-0.9112693,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                           
81202,,Tudela de Navarra,,42.0594340,-1.5979310,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                           
81200,,Castejón de Ebro,,42.1727190,-1.6921140,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                            
81108,,Calahorra,,42.3104580,-1.9577550,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                   
81100,,Logroño,,42.4574590,-2.4421930,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
81002,,Haro,,42.5836350,-2.8493960,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                        
65000,,València-Estació del Nord,,39.4669305,-0.3772239,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                   
65402,,L'Aldea-Amposta-Tortosa,,40.7535640,0.61430923,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                     
65312,,Vinaròs,,40.4716820,0.45572700,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
65311,,Benicarló-Peñíscola,,40.4276390,0.41521700,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                         
65300,,Castelló de la Plana,,39.9884736,-0.0523456,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                        
80100,,Pamplona/Iruña,,42.8248770,-1.6614190,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                              
80108,,Tafalla,,42.5257560,-1.6714670,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
20309,,Lugo,,43.0152220,-7.5521760,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                        
22100,,Ourense,,42.3503890,-7.8727770,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                     
20300,,Monforte de Lemos,,42.5296820,-7.5035890,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                           
20305,,Sarria,,42.7840490,-7.4188220,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                      
60000,,Madrid-Puerta de Atocha-Almudena Grandes,,40.4064420,-3.6908860,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                    
04007,,Guadalajara-Yebes,,40.5873150,-3.1243010,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                           
70600,,Calatayud,,41.3466920,-1.6386800,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                   
08223,,Vigo Urzaiz,,42.2341890,-8.7137280,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                 
11014,,Burgos-Rosa Manzano,,42.3711970,-3.6663080,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                         
14100,,Palencia,,42.0157110,-4.5341350,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                    
15100,,León,,42.5960480,-5.5824280,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                        
20100,,Astorga,,42.4594890,-6.0472120,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                     
20111,,Bembibre,,42.6095580,-6.4220480,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                    
20200,,Ponferrada,,42.5454290,-6.6023760,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                  
20211,,O Barco de Valdeorras,,42.4183010,-6.9850300,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                       
20213,,A Rúa-Petín,,42.3927600,-7.1132840,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                 
20216,,San Clodio-Quiroga,,42.4652710,-7.2871980,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                          
31400,,Santiago de Compostela-Daniel Castelao,,42.8708420,-8.5446970,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                      
23008,,Vilagarcía de Arousa,,42.6021890,-8.7625230,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                        
23004,,Pontevedra,,42.4219690,-8.6355460,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                  
30100,,Salamanca,,40.9722350,-5.6489900,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                   
10600,,Valladolid-Campo Grande,,41.6421670,-4.7269860,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                     
10500,,Medina del Campo,,41.3176170,-4.9099230,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                            
32002,,El Carpio,,41.2154640,-5.1144660,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                   
32003,,Fresno el Viejo,,41.1913510,-5.1380610,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                             
32004,,Cantalapiedra,,41.1335850,-5.1829610,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                               
10501,,Pozaldez,,41.3679200,-4.8360010,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                    
10502,,Matapozuelos,,41.4227940,-4.8010250,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                
10503,,Valdestillas,,41.4887290,-4.7729370,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                
10504,,Viana,,41.5240700,-4.7544890,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                       
50500,,Córdoba-Julio Anguita,,37.8882910,-4.7894530,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                       
65422,,Cambrils,,41.0815642,1.04603752,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                    
64100,,Xàtiva,,38.9921480,-0.5245402,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                      
60600,,Albacete-Los Llanos,,38.9993840,-1.8484500,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                         
60500,,Villarrobledo,,39.2608680,-2.5986210,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                               
60406,,Socuéllamos,,39.2787760,-2.7755710,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                 
50100,,Manzanares,,39.0058370,-3.3705070,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                  
50102,,Valdepeñas,,38.7628680,-3.3957200,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                  
81110,,Alfaro,,42.1865250,-1.7479850,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                      
81109,,Rincón de Soto,,42.2300110,-1.8474730,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                              
60911,,Alicante/Alacant-Terminal,,38.3447127,-0.4955241,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                   
04307,,Figueres-Vilafant,,42.2647710,2.94354700,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                           
79300,,Girona,,41.9793629,2.81693689,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                      
65200,,Sagunt,,39.6758025,-0.2715420,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                      
65304,,Orpesa,,40.0922580,0.13986100,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                                      
71500,,Tarragona,,41.1115636,1.25322776,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                                   
