route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
1700037606GL023,2026-05-202026-08-04001901,0019012026-05-20,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-11001901,0019012026-08-05,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-132026-10-14001901,0019012026-10-13,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001901,0019012026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-032026-11-03001901,0019012026-11-03,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-202026-08-04001902,0019022026-05-20,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-11001902,0019022026-08-05,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-132026-10-14001902,0019022026-10-13,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001902,0019022026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-032026-11-03001902,0019022026-11-03,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-202026-08-04001903,0019032026-05-20,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-10001903,0019032026-08-05,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-112026-10-11001903,0019032026-10-11,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001903,0019032026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-012026-11-01001903,0019032026-11-01,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-202026-08-04001904,0019042026-05-20,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-10001904,0019042026-08-05,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-112026-10-11001904,0019042026-10-11,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001904,0019042026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-012026-11-01001904,0019042026-11-01,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-202026-05-22001921,0019212026-05-20,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-232026-05-23001921,0019212026-05-23,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-242026-05-24001921,0019212026-05-24,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-252026-05-29001921,0019212026-05-25,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-302026-05-30001921,0019212026-05-30,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-05-312026-05-31001921,0019212026-05-31,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-06-012026-06-05001921,0019212026-06-01,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-06-062026-06-06001921,0019212026-06-06,,00192,,,,1                                                                                                                                                                                                                                                                                       
