data_source,route_id,origin_city,destination_city,weekly_train,desserte_type
France,FR:Line::00F2577A-6A87-42E0-95F3-07351E4BC2F6:,Bening,Sarreguemines,9,Desserte Normale
France,FR:Line::00F2577A-6A87-42E0-95F3-07351E4BC2F6:,Bening,Sarreguemines,28,Desserte Normale
France,FR:Line::00F7208C-CEBC-4521-A792-6EC3ABB65811:,Saint-Étienne,Roanne,33,Desserte Normale
France,FR:Line::00F7208C-CEBC-4521-A792-6EC3ABB65811:,Saint-Étienne,Roanne,4,Sous-desservi
France,FR:Line::00F7208C-CEBC-4521-A792-6EC3ABB65811:,Saint-Étienne,Roanne,2,Sous-desservi
France,FR:Line::00F7208C-CEBC-4521-A792-6EC3ABB65811:,Saint-Étienne,Roanne,8,Desserte Normale
France,FR:Line::00F7208C-CEBC-4521-A792-6EC3ABB65811:,Saint-Étienne,Roanne,44,Desserte Normale
France,FR:Line::0128E1D5-9183-4D58-B1CF-F5AA5A64A037:,Marseille,Hyeres,7,Desserte Normale
France,FR:Line::0128E1D5-9183-4D58-B1CF-F5AA5A64A037:,Marseille,Hyeres,1,Sous-desservi
France,FR:Line::0128E1D5-9183-4D58-B1CF-F5AA5A64A037:,Marseille,Hyeres,47,Desserte Normale
France,FR:Line::0128E1D5-9183-4D58-B1CF-F5AA5A64A037:,Marseille,Hyeres,92,Bien desservi
France,FR:Line::0128E1D5-9183-4D58-B1CF-F5AA5A64A037:,Marseille,Hyeres,2,Sous-desservi
France,FR:Line::0128E1D5-9183-4D58-B1CF-F5AA5A64A037:,Marseille,Hyeres,30,Desserte Normale
France,FR:Line::0128E1D5-9183-4D58-B1CF-F5AA5A64A037:,Marseille,Hyeres,63,Bien desservi
France,FR:Line::0202671B-7107-429E-A37B-473C55E0254C:,Montpellier Saint-Roch,Avignon Centre,10,Desserte Normale
France,FR:Line::0202671B-7107-429E-A37B-473C55E0254C:,Montpellier Saint-Roch,Avignon Centre,1,Sous-desservi
France,FR:Line::0202671B-7107-429E-A37B-473C55E0254C:,Montpellier Saint-Roch,Avignon Centre,4,Sous-desservi
France,FR:Line::0202671B-7107-429E-A37B-473C55E0254C:,Montpellier Saint-Roch,Avignon Centre,1,Sous-desservi
France,FR:Line::0202671B-7107-429E-A37B-473C55E0254C:,Montpellier Saint-Roch,Avignon Centre,1,Sous-desservi
France,FR:Line::0202671B-7107-429E-A37B-473C55E0254C:,Montpellier Saint-Roch,Avignon Centre,1,Sous-desservi
France,FR:Line::0202671B-7107-429E-A37B-473C55E0254C:,Montpellier Saint-Roch,Avignon Centre,2,Sous-desservi
France,FR:Line::0202671B-7107-429E-A37B-473C55E0254C:,Montpellier Saint-Roch,Avignon Centre,14,Desserte Normale
France,FR:Line::02534A5F-903C-454E-A24F-E6E2E23B3CBF:,Ambérieu,Mâcon,2,Sous-desservi
France,FR:Line::02534A5F-903C-454E-A24F-E6E2E23B3CBF:,Ambérieu,Mâcon,16,Desserte Normale
France,FR:Line::02534A5F-903C-454E-A24F-E6E2E23B3CBF:,Ambérieu,Mâcon,11,Desserte Normale
France,FR:Line::02534A5F-903C-454E-A24F-E6E2E23B3CBF:,Ambérieu,Mâcon,48,Desserte Normale
France,FR:Line::0312E125-B6BC-404C-A7D1-C1600D4CACAF:,Toulouse Matabiau,Brive La Gaillarde,1,Sous-desservi
France,FR:Line::0312E125-B6BC-404C-A7D1-C1600D4CACAF:,Toulouse Matabiau,Brive La Gaillarde,9,Desserte Normale
France,FR:Line::0312E125-B6BC-404C-A7D1-C1600D4CACAF:,Toulouse Matabiau,Brive La Gaillarde,2,Sous-desservi
France,FR:Line::0312E125-B6BC-404C-A7D1-C1600D4CACAF:,Toulouse Matabiau,Brive La Gaillarde,35,Desserte Normale
France,FR:Line::0312E125-B6BC-404C-A7D1-C1600D4CACAF:,Toulouse Matabiau,Brive La Gaillarde,15,Desserte Normale
France,FR:Line::0312E125-B6BC-404C-A7D1-C1600D4CACAF:,Toulouse Matabiau,Brive La Gaillarde,27,Desserte Normale
France,FR:Line::03398D75-5B60-4588-BC05-9985E599BA20:,Ussel,Bort Les Orgues,2,Sous-desservi
France,FR:Line::03398D75-5B60-4588-BC05-9985E599BA20:,Ussel,Bort Les Orgues,17,Desserte Normale
France,FR:Line::0359c353-2f81-4c49-a269-bc287ff237e0:,Limoges,Brive,1,Sous-desservi
